workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,security,18,0.144652,0.0
A,q00001,procurement,27,0.866948,0.503324
A,q00002,legal,26,0.870125,0.617764
A,q00003,legal,25,0.535254,0.632541
A,q00004,procurement,26,0.208294,0.078398
A,q00005,procurement,29,0.563788,0.358954
A,q00006,procurement,21,0.530263,0.066254
A,q00007,security,33,1.0,0.870125
A,q00008,procurement,23,0.563788,0.358954
A,q00009,legal,31,0.926636,0.693663
A,q00010,security,31,1.0,0.627409
A,q00011,security,24,0.542364,0.49464
A,q00012,security,30,0.870125,0.469
A,q00013,security,26,0.632541,0.220092
A,q00014,legal,19,0.523174,0.293456
A,q00015,legal,27,0.778807,0.863015
A,q00016,security,24,0.648932,0.642187
A,q00017,security,31,0.632541,0.271088
A,q00018,procurement,28,0.371489,0.29849
A,q00019,legal,27,0.936379,0.554899
A,q00020,legal,24,0.233651,0.247031
A,q00021,procurement,22,0.691128,0.648932
A,q00022,security,23,0.523174,0.415281
A,q00023,legal,27,0.778807,0.863015
A,q00024,security,31,0.715186,0.598875
A,q00025,legal,38,0.778807,0.800694
A,q00026,security,27,0.554143,0.358954
A,q00027,security,33,1.0,0.870125
A,q00028,legal,38,0.778807,0.800694
A,q00029,legal,24,1.0,0.517363
A,q00030,security,31,0.72733,0.563788
A,q00031,security,33,1.0,0.870125
A,q00032,legal,24,0.83578,0.517363
A,q00033,procurement,24,0.466642,0.358954
A,q00034,procurement,29,0.330138,0.278198
A,q00035,procurement,27,0.866948,0.503324
A,q00036,legal,27,0.857981,0.218016
A,q00037,procurement,17,0.148764,0.220092
A,q00038,legal,22,0.796761,0.712552
A,q00039,legal,24,0.233651,0.247031
A,q00040,security,19,0.648932,0.069431
A,q00041,security,33,0.358954,0.147829
A,q00042,procurement,23,0.538886,0.358954
A,q00043,procurement,27,0.424926,0.422575
A,q00044,security,30,0.864315,0.611795
A,q00045,security,30,0.864315,0.611795
A,q00046,procurement,32,0.502204,0.72733
A,q00047,legal,24,0.860382,0.538886
A,q00048,legal,27,0.870125,0.936379
A,q00049,security,31,0.701973,0.355777
A,q00050,legal,25,0.538431,0.650513
A,q00051,procurement,22,0.0,0.0
A,q00052,security,22,0.72733,0.453743
A,q00053,security,18,0.144652,0.0
A,q00054,security,18,0.144652,0.0
A,q00055,legal,25,0.782739,0.561713
A,q00056,procurement,24,0.466642,0.358954
A,q00057,security,27,0.563788,0.358954
A,q00058,legal,27,0.857981,0.218016
A,q00059,legal,26,0.870125,0.617764
A,q00060,legal,32,1.0,0.793584
A,q00061,legal,24,0.481535,0.378599
A,q00062,legal,31,1.0,0.563788
A,q00063,legal,24,0.35971,0.305235
A,q00064,procurement,27,0.866948,0.503324
A,q00065,legal,26,0.866948,0.627507
A,q00066,legal,24,0.232973,0.353144
A,q00067,procurement,27,0.424926,0.422575
A,q00068,legal,31,0.545502,0.425208
A,q00069,legal,19,0.523174,0.293456
A,q00070,procurement,29,0.38317,0.063621
A,q00071,security,31,0.632541,0.271088
A,q00072,procurement,23,0.61683,0.563788
A,q00073,procurement,29,0.293456,0.133052
A,q00074,security,19,0.648932,0.454498
A,q00075,legal,27,0.936379,0.554899
A,q00076,security,24,0.648932,0.642187
A,q00077,procurement,29,0.246551,0.063621
A,q00078,procurement,28,0.371489,0.29849
A,q00079,procurement,28,0.358954,0.224006
A,q00080,legal,38,0.870125,0.930569
A,q00081,security,23,0.535254,0.472933
A,q00082,procurement,27,0.866948,0.503324
A,q00083,security,19,0.648932,0.454498
A,q00084,security,33,0.274548,0.151397
A,q00085,procurement,29,0.246551,0.063621
A,q00086,legal,22,0.796761,0.712552
A,q00087,procurement,23,0.236807,0.129875
A,q00088,security,22,0.637152,0.49464
A,q00089,security,19,0.648932,0.069431
