answer,answer_cached,answer_key,answer_seconds,answer_tokens_in,answer_tokens_out,answer_usd,cash_usd,context_tokens,correct,id,incremental_answer_usd,incremental_judge_usd,judge,judge_keys,judge_usd,metric,reader,score,seconds,supplementary,type
New York City,False,1f5fe0663b4fcbb9f55e70454d5a0ec2974e4a77f2d637ded764c46a61d20d9b,2.659011957992334,4905,370,0.00506625,0.00506625,4000,0.0,factconsolidation_mh_262k_no3,0.00506625,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,2.6702622080338188,{},multi_hop
English,False,bf6b4c53b6a74b9be47f2798f1b0fd33695e969de0548582d9e36accec0c5bf9,4.1690475000068545,4876,735,0.00641325,0.00641325,4000,0.0,factconsolidation_mh_262k_no7,0.00641325,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.183613165980205,{},multi_hop
Finland,False,2735cc1e36b9c4a45c9d59a94a920067c0e4e7e9a3992bcd2637fbbd28d7647e,4.161527624994051,4927,737,0.006459,0.006459,4000,0.0,factconsolidation_mh_262k_no2,0.006459,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.3143667909898795,{},multi_hop
Europe,False,7d8576551789ae532f1f82cb8cdf2ca809d64f1b8b68b12768872294e2d4a598,4.485034417011775,4837,733,0.0063765,0.0063765,4000,0.0,factconsolidation_mh_262k_no14,0.0063765,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.50560991698876,{},multi_hop
English,False,7928fa922564dc8665036e65c17defb968b7100e5d19068ce860cc0255e6c1bb,4.834871625003871,4920,733,0.00643875,0.00643875,4000,0.0,factconsolidation_mh_262k_no6,0.00643875,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.924500250024721,{},multi_hop
North America,False,f27a135c930dc762f313eee71c194709950b37ae61ac7e3590173d915570f8e1,5.067953250021674,4879,742,0.00644175,0.00644175,4000,0.0,factconsolidation_mh_262k_no10,0.00644175,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.125816790969111,{},multi_hop
WTTW,False,a14e3632be9393654518d528384cba5e55ae7e9aa9ab88288b81f679bf952c13,5.097249958023895,4867,743,0.0064365,0.0064365,4000,0.0,factconsolidation_mh_262k_no12,0.0064365,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.1348545830114745,{},multi_hop
Petrovichi,False,b4627a09fa942a4431aad60b6c3fd938a09c9eba2e2abe9c22fc8b65dce73034,5.09837725001853,4914,743,0.00647175,0.00647175,4000,0.0,factconsolidation_mh_262k_no11,0.00647175,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.162861790973693,{},multi_hop
King's New School,False,e7a62235829df8aa46d7cb9cba37797316f938fd217c4ecb3e1fd449ef885996,5.149858540971763,4931,741,0.006477,0.006477,4000,0.0,factconsolidation_mh_262k_no8,0.006477,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.202223583008163,{},multi_hop
Sanskrit,False,4c68ff8a249b2da3fb623a255866c545ecfb542f9781ebf066f382b882906395,5.1619719589944,4875,742,0.00643875,0.00643875,4000,0.0,factconsolidation_mh_262k_no4,0.00643875,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.3396204999880865,{},multi_hop
"1160. Whitney Houston...
1161. Joseph Plunkett...

Chunk 786:",False,ffd2dfc1754b8dc3837ed79f3fe20e5a641780dfc599475457f8adb23214d443,5.36105566698825,4867,763,0.0065115,0.0065115,4000,0.0,factconsolidation_mh_262k_no9,0.0065115,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.490443000046071,{},multi_hop
Hannah Montana,False,251d7e443b96a7e9e17b91afbf4faf7881fd7f29df23715ba046c8b28665227d,5.652569375000894,4840,735,0.00638625,0.00638625,4000,0.0,factconsolidation_mh_262k_no13,0.00638625,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.666389124991838,{},multi_hop
Catholic Church,False,c41780a24965730c992c58f5a58b4b8010d1de02c07528a7ec3b916b317ba801,5.6184190409840085,4851,736,0.00639825,0.00639825,4000,0.0,factconsolidation_mh_262k_no1,0.00639825,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.7326344580505975,{},multi_hop
Australia,False,d9058ce6508fda3f4e37393bea8cbe55e165ffd93a2e55a17aeab323853338fd,5.72528770804638,4880,739,0.00643125,0.00643125,4000,0.0,factconsolidation_mh_262k_no0,0.00643125,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.7348785000503995,{},multi_hop
German,False,bfb78ec6cd2b2def5c0a92c41c950615648aab36d7d1152b247bd98f14ec707f,5.683739709027577,4877,736,0.00641775,0.00641775,4000,0.0,factconsolidation_mh_262k_no5,0.00641775,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.793964915967081,{},multi_hop
Long Beach,False,29f1a55e873a073c7606e89c419d713d5e04d0599814e616ba33ce9b2ba65ad6,5.827035833965056,4805,738,0.00637125,0.00637125,4000,1.0,factconsolidation_mh_262k_no15,0.00637125,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,5.9709359999978915,{},multi_hop
North Charleston,False,c15909a35d5d061af835c273c0ce34797141036993db44c7aff887276624a33a,3.9046044580172747,4829,601,0.0058755,0.0058755,4000,1.0,factconsolidation_mh_262k_no26,0.0058755,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,3.9576897919760086,{},multi_hop
No information provided in the given evidence.,False,b1d837291cb3783ea172e38c882e5fd1e4d7d3d646267de0d61ed5778506e028,4.346083167009056,4884,741,0.00644175,0.00644175,4000,0.0,factconsolidation_mh_262k_no17,0.00644175,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.357671415957157,{},multi_hop
Europe,False,2c9c6cd96d4af14990271a0942f6d9e13728af93aff9751a65f798a5e4c779dd,4.219975416024681,4843,733,0.006381,0.006381,4000,0.0,factconsolidation_mh_262k_no25,0.006381,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.391285457997583,{},multi_hop
American football,False,e75a6509550ade3f46bb71e63b9db5f7479265789894b87e5fd3e9f163d4efdd,4.455940500018187,4831,483,0.0054345,0.0054345,4000,1.0,factconsolidation_mh_262k_no24,0.0054345,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,4.592991542012896,{},multi_hop
Harvard University,False,2b18ab64aedfd8633ecb5b27bda7ba69a5407f473a7dfef8e014b531ff4eb004,4.496693999972194,4883,738,0.00642975,0.00642975,4000,0.0,factconsolidation_mh_262k_no31,0.00642975,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.614930332987569,{},multi_hop
United States of America,False,62f6c6f5db877b741a05155ac50a3e2adb1add92aacbbeed948e25c77d65b638,4.410697583982255,4871,738,0.00642075,0.00642075,4000,0.0,factconsolidation_mh_262k_no30,0.00642075,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.638234874990303,{},multi_hop
judo,False,a040095870b0a074ae59740bd5a7c375af1a84e9d5916eac6afae28cd06ef6b1,4.585223792004399,4892,735,0.00642525,0.00642525,4000,0.0,factconsolidation_mh_262k_no27,0.00642525,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.672330250032246,{},multi_hop
Dublin,False,37825e5993f2310e6aaca8a46155261334c14f9e3266a1bcf8b98279a0bcf687,4.424117250018753,4926,733,0.00644325,0.00644325,4000,0.0,factconsolidation_mh_262k_no29,0.00644325,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.7099447079817764,{},multi_hop
