workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,security,18,0.205117,0.078398
A,q00001,procurement,27,0.632541,0.469
A,q00002,legal,26,1.0,0.31488
A,q00003,legal,25,0.547853,0.548333
A,q00004,procurement,26,0.522496,0.110046
A,q00005,procurement,29,0.72733,0.563788
A,q00006,procurement,21,0.469454,0.275847
A,q00007,security,33,0.790951,0.253295
A,q00008,procurement,23,0.469,0.848603
A,q00009,legal,31,1.0,0.687017
A,q00010,security,31,0.936379,0.936379
A,q00011,security,24,0.542364,0.689829
A,q00012,security,30,0.648932,0.330138
A,q00013,security,26,0.574337,0.63322
A,q00014,legal,19,0.701973,0.614952
A,q00015,legal,27,0.930569,0.378501
A,q00016,security,24,0.547398,0.569579
A,q00017,security,31,0.793584,0.078398
A,q00018,procurement,28,0.637152,0.085143
A,q00019,legal,27,1.0,0.930569
A,q00020,legal,24,0.362848,0.527843
A,q00021,procurement,22,0.432318,0.469
A,q00022,security,23,0.358954,0.409951
A,q00023,legal,27,0.930569,0.378501
A,q00024,security,31,0.630043,0.662792
A,q00025,legal,38,0.762416,0.677273
A,q00026,security,27,0.715551,0.687195
A,q00027,security,33,0.790951,0.253295
A,q00028,legal,38,0.762416,0.677273
A,q00029,legal,24,0.936379,0.784982
A,q00030,security,31,0.763095,0.936379
A,q00031,security,33,0.790951,0.253295
A,q00032,legal,24,0.857205,0.753449
A,q00033,procurement,24,0.718363,0.236905
A,q00034,procurement,29,0.637152,0.085143
A,q00035,procurement,27,0.632541,0.469
A,q00036,legal,27,1.0,0.870125
A,q00037,procurement,17,0.289523,0.425208
A,q00038,legal,22,1.0,0.444097
A,q00039,legal,24,0.362848,0.527843
A,q00040,security,19,0.428385,0.29849
A,q00041,security,33,0.648932,0.206416
A,q00042,procurement,23,0.428365,0.779171
A,q00043,procurement,27,0.866948,0.535254
A,q00044,security,30,0.718363,0.583618
A,q00045,security,30,0.718363,0.583618
A,q00046,procurement,32,0.746705,0.708441
A,q00047,legal,24,0.914857,0.860382
A,q00048,legal,27,1.0,0.384311
A,q00049,security,31,0.686715,0.239921
A,q00050,legal,25,0.646119,0.684383
A,q00051,procurement,22,0.358954,0.154574
A,q00052,security,22,0.542364,0.523251
A,q00053,security,18,0.205117,0.078398
A,q00054,security,18,0.205117,0.078398
A,q00055,legal,25,0.841591,0.718363
A,q00056,procurement,24,0.718363,0.236905
A,q00057,security,27,0.863015,0.784617
A,q00058,legal,27,1.0,0.870125
A,q00059,legal,26,1.0,0.31488
A,q00060,legal,32,1.0,0.667826
A,q00061,legal,24,0.831848,0.437352
A,q00062,legal,31,1.0,0.728912
A,q00063,legal,24,0.598875,0.220092
A,q00064,procurement,27,0.632541,0.469
A,q00065,legal,26,1.0,0.330138
A,q00066,legal,24,0.395314,0.536074
A,q00067,procurement,27,0.866948,0.535254
A,q00068,legal,31,0.690648,0.286692
A,q00069,legal,19,0.701973,0.614952
A,q00070,procurement,29,0.690194,0.254698
A,q00071,security,31,0.793584,0.078398
A,q00072,procurement,23,0.535254,0.796761
A,q00073,procurement,29,0.706584,0.0
A,q00074,security,19,0.428385,0.469
A,q00075,legal,27,1.0,0.930569
A,q00076,security,24,0.547398,0.569579
A,q00077,procurement,29,0.870125,0.158409
A,q00078,procurement,28,0.637152,0.085143
A,q00079,procurement,28,0.701973,0.063621
A,q00080,legal,38,0.905212,0.705905
A,q00081,security,23,0.358954,0.31834
A,q00082,procurement,27,0.632541,0.469
A,q00083,security,19,0.428385,0.469
A,q00084,security,33,0.543003,0.073364
A,q00085,procurement,29,0.870125,0.158409
A,q00086,legal,22,1.0,0.444097
A,q00087,procurement,23,0.364744,0.212226
A,q00088,security,22,0.870125,0.793584
A,q00089,security,19,0.428385,0.29849
A,q00090,procurement,27,0.0,0.073364
A,q00091,security,18,0.205117,0.078398
A,q00092,security,18,0.330138,0.085143
A,q00093,security,26,0.554143,0.422095
A,q00094,legal,24,0.936379,0.784982
A,q00095,procurement,32,0.693663,0.627507
A,q00096,security,33,0.620762,0.199306
A,q00097,legal,25,0.456997,0.582939
A,q00098,security,19,0.428385,0.29849
A,q00099,legal,28,0.637152,0.158507
A,q00100,legal,27,0.784617,0.287626
A,q00101,legal,25,0.646119,0.684383
A,q00102,procurement,23,0.469,0.563788
A,q00103,security,31,0.630043,0.662792
A,q00104,legal,26,1.0,0.330138
A,q00105,security,27,0.863015,0.784617
A,q00106,procurement,29,0.712552,0.220092
A,q00107,procurement,29,0.72733,0.563788
A,q00108,legal,25,0.841591,0.718363
A,q00109,procurement,32,0.863015,0.46319
A,q00110,security,24,0.547398,0.569579
A,q00111,procurement,26,0.746705,0.554143
A,q00112,procurement,21,0.469454,0.275847
A,q00113,security,18,0.330138,0.085143
A,q00114,security,23,0.358954,0.409951
A,q00115,legal,31,1.0,0.726413
A,q00116,procurement,29,0.706584,0.0
A,q00117,procurement,29,0.648932,0.466277
A,q00118,legal,28,0.637152,0.158507
A,q00119,procurement,23,0.469,0.563788
A,q00120,procurement,29,0.706584,0.0
A,q00121,procurement,17,0.305235,0.358954
A,q00122,procurement,21,0.41245,0.224006
A,q00123,legal,25,0.930569,0.852171
A,q00124,legal,38,0.762416,0.677273
A,q00125,legal,25,0.646119,0.684383
A,q00126,procurement,21,0.469454,0.275847
A,q00127,procurement,22,0.432318,0.469
A,q00128,security,31,0.800694,0.066254
A,q00129,legal,32,1.0,0.680905
A,q00130,legal,19,0.701973,0.614952
A,q00131,legal,28,0.343697,0.224006
A,q00132,procurement,29,0.648932,0.466277
A,q00133,security,18,0.330138,0.085143
A,q00134,security,42,1.0,0.617585
A,q00135,legal,32,0.936379,0.721519
A,q00136,procurement,23,0.428365,0.779171
A,q00137,security,33,0.790951,0.253295
A,q00138,security,31,0.630043,0.662792
