workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,security,18,0.0,0.066254
A,q00001,procurement,27,0.668306,0.358954
A,q00002,legal,26,0.936379,0.712552
A,q00003,legal,25,0.460013,0.554143
A,q00004,procurement,26,0.204834,0.283713
A,q00005,procurement,29,0.289523,0.488547
A,q00006,procurement,21,0.316916,0.094788
A,q00007,security,33,0.863015,0.715551
A,q00008,procurement,23,0.286346,0.510716
A,q00009,legal,31,1.0,0.926636
A,q00010,security,31,0.72733,0.481535
A,q00011,security,24,0.362887,0.290625
A,q00012,security,30,0.535254,0.371854
A,q00013,security,26,0.47479,0.328241
A,q00014,legal,19,0.763095,0.55826
A,q00015,legal,27,1.0,0.752969
A,q00016,security,24,0.289523,0.35971
A,q00017,security,31,0.368856,0.220092
A,q00018,procurement,28,0.151762,0.305235
A,q00019,legal,27,1.0,0.696938
A,q00020,legal,24,0.492461,0.447735
A,q00021,procurement,22,0.368856,0.598875
A,q00022,security,23,0.608317,0.303082
A,q00023,legal,27,1.0,0.752969
A,q00024,security,31,0.693663,0.57369
A,q00025,legal,38,0.914857,0.804811
A,q00026,security,27,0.358954,0.224006
A,q00027,security,33,0.863015,0.715551
A,q00028,legal,38,0.914857,0.804811
A,q00029,legal,24,1.0,0.712552
A,q00030,security,31,0.712552,0.473387
A,q00031,security,33,0.863015,0.715551
A,q00032,legal,24,0.936379,0.637152
A,q00033,procurement,24,0.383633,0.396392
A,q00034,procurement,29,0.094788,0.0
A,q00035,procurement,27,0.668306,0.358954
A,q00036,legal,27,0.933746,0.684837
A,q00037,procurement,17,0.220092,0.151762
A,q00038,legal,22,1.0,0.930569
A,q00039,legal,24,0.492461,0.447735
A,q00040,security,19,0.432318,0.580148
A,q00041,security,33,0.0,0.245731
A,q00042,procurement,23,0.358954,0.453743
A,q00043,procurement,27,0.078398,0.248908
A,q00044,security,30,0.683084,0.441285
A,q00045,security,30,0.683084,0.441285
A,q00046,procurement,32,0.526428,0.548154
A,q00047,legal,24,0.933746,0.693663
A,q00048,legal,27,1.0,0.930569
A,q00049,security,31,0.428385,0.29849
A,q00050,legal,25,0.473387,0.500973
A,q00051,procurement,22,0.0,0.318794
A,q00052,security,22,0.4819,0.591927
A,q00053,security,18,0.0,0.066254
A,q00054,security,18,0.0,0.066254
A,q00055,legal,25,0.841591,0.674936
A,q00056,procurement,24,0.383633,0.396392
A,q00057,security,27,0.358954,0.283713
A,q00058,legal,27,0.933746,0.684837
A,q00059,legal,26,0.936379,0.712552
A,q00060,legal,32,1.0,0.870125
A,q00061,legal,24,0.576688,0.438108
A,q00062,legal,31,0.933746,0.785916
A,q00063,legal,24,0.29026,0.236905
A,q00064,procurement,27,0.668306,0.358954
A,q00065,legal,26,0.800694,0.665291
A,q00066,legal,24,0.472894,0.482637
A,q00067,procurement,27,0.078398,0.248908
A,q00068,legal,31,0.608297,0.385413
A,q00069,legal,19,0.763095,0.55826
A,q00070,procurement,29,0.72733,0.476847
A,q00071,security,31,0.368856,0.220092
A,q00072,procurement,23,0.383633,0.538431
A,q00073,procurement,29,0.220092,0.222128
A,q00074,security,19,0.358954,0.428385
A,q00075,legal,27,1.0,0.696938
A,q00076,security,24,0.289523,0.35971
A,q00077,procurement,29,0.722295,0.278198
A,q00078,procurement,28,0.151762,0.305235
A,q00079,procurement,28,0.0,0.220092
A,q00080,legal,38,0.930569,0.69684
A,q00081,security,23,0.60514,0.261808
A,q00082,procurement,27,0.668306,0.358954
A,q00083,security,19,0.358954,0.428385
A,q00084,security,33,0.0,0.142795
A,q00085,procurement,29,0.722295,0.278198
A,q00086,legal,22,1.0,0.930569
A,q00087,procurement,23,0.31488,0.094788
A,q00088,security,22,0.49464,0.642187
