seed,workload,query_id,pool,n_relevant,T_A,T_B
11,A,q00000,legal,16,0.775239,0.492006
11,A,q00001,security,19,0.094788,0.078398
11,A,q00002,legal,15,0.173187,0.139618
11,A,q00003,security,12,0.469,0.563788
11,A,q00004,legal,14,0.063621,0.444097
11,A,q00005,procurement,14,0.399569,0.063621
11,A,q00006,security,28,0.930569,1.0
11,A,q00007,legal,20,0.677273,0.848603
11,A,q00008,security,19,0.722295,0.563788
11,A,q00009,procurement,18,0.0,0.0
11,A,q00010,procurement,20,0.215018,0.35971
11,A,q00011,legal,20,0.864315,0.72733
11,A,q00012,security,12,0.453743,0.627409
11,A,q00013,procurement,17,0.208294,0.358954
11,A,q00014,procurement,17,0.142795,0.173187
11,A,q00015,procurement,14,0.415281,0.510069
11,A,q00016,security,18,0.283713,0.0
11,A,q00017,security,13,0.274548,0.358954
11,A,q00018,legal,18,0.772062,0.31488
11,A,q00019,procurement,17,0.158409,0.220092
11,A,q00020,procurement,20,0.503324,0.293456
11,A,q00021,security,18,0.453743,0.138862
11,A,q00022,legal,14,0.408073,0.503324
11,A,q00023,procurement,16,0.60514,0.066254
11,A,q00024,legal,20,0.800694,0.632541
11,A,q00025,procurement,11,0.358954,0.0
11,A,q00026,security,18,0.293456,0.0
11,A,q00027,legal,18,0.636659,0.066254
11,A,q00028,procurement,18,0.699474,0.469
11,A,q00029,legal,20,0.642942,0.473387
11,A,q00030,procurement,16,0.368376,0.371854
11,A,q00031,security,28,0.698796,0.936379
11,A,q00032,security,18,0.510716,0.432318
11,A,q00033,procurement,18,0.864315,0.467122
11,A,q00034,procurement,16,0.473387,0.444097
11,A,q00035,legal,9,0.45747,0.67285
11,A,q00036,security,28,0.698796,0.936379
11,A,q00037,security,19,0.220092,0.220092
11,A,q00038,procurement,11,0.428385,0.078398
11,A,q00039,security,13,0.274548,0.358954
11,A,q00040,procurement,20,0.094788,0.220092
11,A,q00041,legal,20,0.864315,0.72733
11,A,q00042,security,17,0.220092,0.0
