query_id,pool,n_relevant,L4_corpus,L5_objective,L0_pooled,L1_chunks
q00000,security,18,0.248908,0.378501,0.133052,0.094788
q00001,procurement,27,0.220092,0.538886,0.384311,0.312049
q00002,legal,26,0.936379,0.936379,0.161043,0.790951
q00003,legal,25,0.700773,0.554143,0.066254,0.432318
q00004,procurement,26,0.358954,0.312529,0.399569,0.16422
q00005,procurement,29,0.542364,0.570404,0.220092,0.642187
q00006,procurement,21,0.393278,0.25833,0.163541,0.063621
q00007,security,33,0.936379,0.591927,0.299905,0.712374
q00008,procurement,23,0.425208,0.29849,0.0,0.293456
q00009,legal,31,0.936379,0.936379,0.750637,0.791727
q00010,security,31,0.870125,0.706584,0.593361,0.864315
q00011,security,24,0.357076,0.447254,0.384311,0.577149
q00012,security,30,0.72733,0.517363,0.085143,0.481881
q00013,security,26,0.722295,0.415281,0.278198,0.586116
q00014,legal,19,0.648932,0.763193,0.248908,0.617284
q00015,legal,27,0.826333,0.930569,0.544676,0.617284
q00016,security,24,0.517363,0.371489,0.400023,0.539187
q00017,security,31,0.648932,0.627507,0.0,0.224761
q00018,procurement,28,0.188444,0.542364,0.358954,0.085143
q00019,legal,27,0.936379,0.936379,0.517461,0.921602
q00020,legal,24,0.312805,0.261808,0.151762,0.393278
q00021,procurement,22,0.722295,0.693663,0.094788,0.349487
q00022,security,23,0.403502,0.289523,0.0,0.21145
q00023,legal,27,0.826333,0.930569,0.544676,0.617284
q00024,security,31,0.72733,0.643404,0.65948,0.706584
q00025,legal,38,0.921602,0.933746,0.630043,0.706584
q00026,security,27,0.542364,0.305235,0.094788,0.374666
q00027,security,33,0.936379,0.591927,0.299905,0.712374
q00028,legal,38,0.921602,0.933746,0.630043,0.706584
q00029,legal,24,0.781805,0.930569,0.416382,0.83578
q00030,security,31,0.870125,0.747159,0.602052,0.784617
q00031,security,33,0.936379,0.591927,0.299905,0.712374
q00032,legal,24,0.656982,0.848238,0.233651,0.674571
q00033,procurement,24,0.517363,0.567227,0.283713,0.273587
q00034,procurement,29,0.330138,0.168152,0.0,0.357076
q00035,procurement,27,0.220092,0.538886,0.384311,0.312049
q00036,legal,27,0.863015,0.851236,0.492006,0.870125
q00037,procurement,17,0.138862,0.358954,0.073364,0.110046
q00038,legal,22,0.933746,1.0,0.283713,0.745302
q00039,legal,24,0.312805,0.261808,0.151762,0.393278
q00040,security,19,0.627409,0.591927,0.293456,0.517363
q00041,security,33,0.469,0.367921,0.221193,0.179931
q00042,procurement,23,0.60514,0.233651,0.283233,0.275847
q00043,procurement,27,0.469,0.800694,0.094788,0.563788
q00044,security,30,0.72733,0.532141,0.289523,0.47479
q00045,security,30,0.72733,0.532141,0.289523,0.47479
q00046,procurement,32,0.684837,0.420217,0.538431,0.415281
q00047,legal,24,0.667826,0.838957,0.375768,0.710023
q00048,legal,27,0.933746,0.866948,0.434175,0.791727
q00049,security,31,0.510069,0.448215,0.133052,0.246186
q00050,legal,25,0.617284,0.547398,0.094788,0.422575
q00051,procurement,22,0.538886,0.220092,0.138862,0.069431
q00052,security,22,0.715551,0.563788,0.168152,0.463644
q00053,security,18,0.248908,0.378501,0.133052,0.094788
q00054,security,18,0.248908,0.378501,0.133052,0.094788
q00055,legal,25,0.860382,0.70151,0.478902,0.501428
q00056,procurement,24,0.517363,0.567227,0.283713,0.273587
q00057,security,27,0.554143,0.358954,0.289523,0.453743
q00058,legal,27,0.863015,0.851236,0.492006,0.870125
q00059,legal,26,0.936379,0.936379,0.161043,0.790951
q00060,legal,32,1.0,1.0,0.43511,0.866948
q00061,legal,24,0.552746,0.677728,0.094788,0.424926
q00062,legal,31,0.936379,0.936379,0.68045,0.793584
q00063,legal,24,0.220829,0.205117,0.085143,0.110046
q00064,procurement,27,0.220092,0.538886,0.384311,0.312049
q00065,legal,26,0.930569,0.870125,0.110046,0.790951
q00066,legal,24,0.281637,0.30316,0.142019,0.38196
q00067,procurement,27,0.469,0.800694,0.094788,0.563788
q00068,legal,31,0.642924,0.652088,0.220092,0.274548
q00069,legal,19,0.648932,0.763193,0.248908,0.617284
q00070,procurement,29,0.358954,0.690648,0.063621,0.293456
q00071,security,31,0.648932,0.627507,0.0,0.224761
q00072,procurement,23,0.501749,0.358954,0.173187,0.224761
q00073,procurement,29,0.135685,0.469,0.220092,0.0
q00074,security,19,0.563788,0.510352,0.220092,0.583715
q00075,legal,27,0.936379,0.936379,0.517461,0.921602
q00076,security,24,0.517363,0.371489,0.400023,0.539187
q00077,procurement,29,0.358954,0.715551,0.151762,0.378501
q00078,procurement,28,0.188444,0.542364,0.358954,0.085143
q00079,procurement,28,0.066254,0.693663,0.220092,0.0
q00080,legal,38,0.914857,1.0,0.746705,0.926636
q00081,security,23,0.492006,0.293456,0.066254,0.271088
q00082,procurement,27,0.220092,0.538886,0.384311,0.312049
q00083,security,19,0.563788,0.510352,0.220092,0.583715
q00084,security,33,0.281658,0.274548,0.073364,0.173667
q00085,procurement,29,0.358954,0.715551,0.151762,0.378501
q00086,legal,22,0.933746,1.0,0.283713,0.745302
q00087,procurement,23,0.212226,0.307015,0.0,0.286346
q00088,security,22,0.722295,0.677273,0.243552,0.83578
q00089,security,19,0.627409,0.591927,0.293456,0.517363
q00090,procurement,27,0.0,0.0,0.0,0.094788
q00091,security,18,0.248908,0.378501,0.133052,0.094788
q00092,security,18,0.378501,0.513529,0.085143,0.220092
q00093,security,26,0.72733,0.305235,0.218195,0.605505
q00094,legal,24,0.781805,0.930569,0.416382,0.83578
q00095,procurement,32,0.498572,0.351068,0.538431,0.438287
q00096,security,33,0.424926,0.357076,0.236905,0.212226
q00097,legal,25,0.469,0.415281,0.066254,0.239441
q00098,security,19,0.627409,0.591927,0.293456,0.517363
q00099,legal,28,0.836459,0.852171,0.399569,0.684018
q00100,legal,27,0.702631,0.841591,0.138862,0.397948
q00101,legal,25,0.617284,0.547398,0.094788,0.422575
q00102,procurement,23,0.469,0.510716,0.138862,0.220092
q00103,security,31,0.72733,0.643404,0.65948,0.706584
q00104,legal,26,0.930569,0.870125,0.110046,0.790951
q00105,security,27,0.554143,0.358954,0.289523,0.453743
q00106,procurement,29,0.148764,0.547398,0.217261,0.425208
q00107,procurement,29,0.542364,0.570404,0.220092,0.642187
q00108,legal,25,0.860382,0.70151,0.478902,0.501428
q00109,procurement,32,0.628165,0.440067,0.523174,0.293456
q00110,security,24,0.517363,0.371489,0.400023,0.539187
q00111,procurement,26,0.25881,0.278198,0.532621,0.554801
q00112,procurement,21,0.393278,0.25833,0.163541,0.063621
