answer,answer_cached,answer_key,answer_seconds,answer_tokens_in,answer_tokens_out,answer_usd,cash_usd,context_tokens,correct,id,incremental_answer_usd,incremental_judge_usd,judge,judge_keys,judge_usd,metric,reader,score,seconds,supplementary,type
Dorin Alexandrescu,False,2ee1efa542068e42bb12bf71c32e628dcc2517cef7dafb19be5cdeaa48ca6d6a,3.8954619580181316,4738,636,0.0059385,0.0059385,3983,0.0,factconsolidation_mh_32k_no7,0.0059385,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,3.926222207956016,{},multi_hop
Ukrainian,False,7e3460a19f5a8ce50dd768f126452c9f971e97ac262ebafc610a92620edfc050,3.8050989999901503,4883,618,0.00597975,0.00597975,4000,1.0,factconsolidation_mh_32k_no6,0.00597975,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,3.9695234169485047,{},multi_hop
Christianity,False,7d8b6ddf6fa3e0c6a29013ee32d7b7049251711a6d805984ddfc0b8e0e9822d9,4.153851708979346,4878,735,0.00641475,0.00641475,4000,0.0,factconsolidation_mh_32k_no0,0.00641475,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.165397625009064,{},multi_hop
United States of America,False,09722975aa8f8f255cf9ec6893f19fb65f92f6b8c4f23991641f5e5490319729,4.197221125010401,4801,737,0.0063645,0.0063645,4000,1.0,factconsolidation_mh_32k_no13,0.0063645,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,4.247473625000566,{},multi_hop
"The evidence provided does not specify the occupation of Regina Ip, who is identified in the latest fact as the chairperson of the Palestine Liberation Organization.",False,32c6ea8f61e3a61e6a12f7ae9069592776aa5cce69267c7b9910828d5bc783b6,4.258439375029411,4808,761,0.00645975,0.00645975,4000,0.0,factconsolidation_mh_32k_no4,0.00645975,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.363461082975846,{},multi_hop
Epworth,False,f22ab61e47f5569bdaaa77873b61f6ada9640ce4f5e2e074ef69705bf674126d,4.390463375020772,4843,737,0.006396,0.006396,4000,0.0,factconsolidation_mh_32k_no2,0.006396,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.439265541965142,{},multi_hop
United Kingdom,False,6a82a139c4e2b24b99a1583897f346bda1b91e4dd8644c9871c6c9a05c44436b,4.484570833970793,4826,735,0.00637575,0.00637575,4000,0.0,factconsolidation_mh_32k_no3,0.00637575,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.628445542010013,{},multi_hop
":
1648. placekicker is associated with the sport of rugby.
1655. Ireland is located in",False,e80bde8ec8f82fbad4381b5d9ffc6a84e65e40121e2a55c910a00ddafcd10e0c,4.709989541966934,4905,764,0.00654375,0.00654375,4000,0.0,factconsolidation_mh_32k_no5,0.00654375,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.8201952910167165,{},multi_hop
New York City,False,3b5185744ff78ddac6501b39991b3f7e010fb73a6e0b329b471916109cb170d2,5.025770000007469,4894,736,0.0064305,0.0064305,4000,0.0,factconsolidation_mh_32k_no14,0.0064305,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.156070999975782,{},multi_hop
Oceania,False,a2a4e9d3f45c4d81eac31379c6c1d8d171fe52a08d748ed98ec9f038f8168e0d,5.198829957982525,4827,735,0.0063765,0.0063765,4000,1.0,factconsolidation_mh_32k_no1,0.0063765,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,5.2776417909772135,{},multi_hop
