accuracy,accuracy_answered,answer_cached_questions,answer_cost_per_correct_usd,answer_cost_usd,answer_p50_seconds,answer_p95_seconds,answer_tokens_in,answer_tokens_out,answered,binary_scored,cohort,config_sha256,context_budget_tokens,correct,cost_per_correct_basis,dataset,evaluation_cost_usd,exact_match_accuracy,f1_mean,incremental_answer_usd_recorded,incremental_api_usd_recorded,index_llm_usd,index_seconds,index_storage_bytes,indexed_groups,judge,logical_answer_cost_usd,mean_context_tokens,mean_score,mean_score_denominator,questions,reader,requested_questions,retrieval_gold_questions,retrieval_incomplete_evidence_excluded,retrieval_metrics,retrieval_p50_seconds,retrieval_p95_seconds,retrieved,scope,score_label,score_metric,scored,serving_p50_seconds,serving_p95_seconds,source_corpus_bytes,source_groups,source_tokens,source_tokens_complete,status,type,unanswered,unscored,variant,verified_correct_fraction_of_full
,,0,,0.005538,6.11152212502202,6.11152212502202,3709.0,735.0,1,0,abstention,c2523626aa92cc88000042248d7b674500c769d4c46e3d661a001f31e524eb9f,4000,,,beam_100k,0.00012020000000000002,,,0.005538,0.0056582,0.0,23.127948332985397,1323799,1,gemini-2.5-flash-lite,0.005538,4000.0,1.0,1,40,gemini-3.6-flash,1,0,0,{},0.027365249989088625,0.027365249989088625,1,smoke,graded rubric mean,"[""beam_rubric_mean""]",1,6.138887375011109,6.138887375011109,13375834,20,145805.0,False,incomplete,abstention,39,39,beam_100k,
,,0,,0,,,0,0,0,0,contradiction_resolution,c2523626aa92cc88000042248d7b674500c769d4c46e3d661a001f31e524eb9f,4000,,,beam_100k,0,,,0,0,0.0,23.127948332985397,1323799,1,gemini-2.5-flash-lite,0,,,0,40,gemini-3.6-flash,0,0,0,{},,,0,smoke,graded rubric mean,"[""beam_rubric_mean""]",0,,,13375834,20,145805.0,False,incomplete,contradiction_resolution,40,40,beam_100k,
,,0,,0,,,0,0,0,0,event_ordering,c2523626aa92cc88000042248d7b674500c769d4c46e3d661a001f31e524eb9f,4000,,,beam_100k,0,,,0,0,0.0,23.127948332985397,1323799,1,gemini-2.5-flash-lite,0,,,0,40,gemini-3.6-flash,0,0,0,{},,,0,smoke,graded rubric mean,"[""beam_rubric_mean""]",0,,,13375834,20,145805.0,False,incomplete,event_ordering,40,40,beam_100k,
,,0,,0,,,0,0,0,0,information_extraction,c2523626aa92cc88000042248d7b674500c769d4c46e3d661a001f31e524eb9f,4000,,,beam_100k,0,,,0,0,0.0,23.127948332985397,1323799,1,gemini-2.5-flash-lite,0,,,0,40,gemini-3.6-flash,0,0,0,{},,,0,smoke,graded rubric mean,"[""beam_rubric_mean""]",0,,,13375834,20,145805.0,False,incomplete,information_extraction,40,40,beam_100k,
,,0,,0,,,0,0,0,0,instruction_following,c2523626aa92cc88000042248d7b674500c769d4c46e3d661a001f31e524eb9f,4000,,,beam_100k,0,,,0,0,0.0,23.127948332985397,1323799,1,gemini-2.5-flash-lite,0,,,0,40,gemini-3.6-flash,0,0,0,{},,,0,smoke,graded rubric mean,"[""beam_rubric_mean""]",0,,,13375834,20,145805.0,False,incomplete,instruction_following,40,40,beam_100k,
,,0,,0,,,0,0,0,0,knowledge_update,c2523626aa92cc88000042248d7b674500c769d4c46e3d661a001f31e524eb9f,4000,,,beam_100k,0,,,0,0,0.0,23.127948332985397,1323799,1,gemini-2.5-flash-lite,0,,,0,40,gemini-3.6-flash,0,0,0,{},,,0,smoke,graded rubric mean,"[""beam_rubric_mean""]",0,,,13375834,20,145805.0,False,incomplete,knowledge_update,40,40,beam_100k,
,,0,,0,,,0,0,0,0,multi_session_reasoning,c2523626aa92cc88000042248d7b674500c769d4c46e3d661a001f31e524eb9f,4000,,,beam_100k,0,,,0,0,0.0,23.127948332985397,1323799,1,gemini-2.5-flash-lite,0,,,0,40,gemini-3.6-flash,0,0,0,{},,,0,smoke,graded rubric mean,"[""beam_rubric_mean""]",0,,,13375834,20,145805.0,False,incomplete,multi_session_reasoning,40,40,beam_100k,
,,0,,0,,,0,0,0,0,preference_following,c2523626aa92cc88000042248d7b674500c769d4c46e3d661a001f31e524eb9f,4000,,,beam_100k,0,,,0,0,0.0,23.127948332985397,1323799,1,gemini-2.5-flash-lite,0,,,0,40,gemini-3.6-flash,0,0,0,{},,,0,smoke,graded rubric mean,"[""beam_rubric_mean""]",0,,,13375834,20,145805.0,False,incomplete,preference_following,40,40,beam_100k,
,,0,,0,,,0,0,0,0,summarization,c2523626aa92cc88000042248d7b674500c769d4c46e3d661a001f31e524eb9f,4000,,,beam_100k,0,,,0,0,0.0,23.127948332985397,1323799,1,gemini-2.5-flash-lite,0,,,0,40,gemini-3.6-flash,0,0,0,{},,,0,smoke,graded rubric mean,"[""beam_rubric_mean""]",0,,,13375834,20,145805.0,False,incomplete,summarization,40,40,beam_100k,
,,0,,0,,,0,0,0,0,temporal_reasoning,c2523626aa92cc88000042248d7b674500c769d4c46e3d661a001f31e524eb9f,4000,,,beam_100k,0,,,0,0,0.0,23.127948332985397,1323799,1,gemini-2.5-flash-lite,0,,,0,40,gemini-3.6-flash,0,0,0,{},,,0,smoke,graded rubric mean,"[""beam_rubric_mean""]",0,,,13375834,20,145805.0,False,incomplete,temporal_reasoning,40,40,beam_100k,
