answer,answer_cached,answer_key,answer_seconds,answer_tokens_in,answer_tokens_out,answer_usd,cash_usd,context_tokens,correct,id,incremental_answer_usd,incremental_judge_usd,judge,judge_keys,judge_usd,metric,reader,score,seconds,supplementary,type
"University of California, Berkeley",False,11c1861565aa74276a644ee086304a93900ae0f3e971c2f5b312a66a55322755,1.8673966670176014,4728,169,0.00417975,0.00417975,4000,1.0,factconsolidation_sh_6k_no4,0.00417975,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,1.8801865419954993,{},single_hop
Jonathan Rothschild,False,a8d4a0ff8394ec3c1740a6c6f13e1bc943715d5b5dc664db42da16260397ad29,1.8912245000246912,4816,145,0.00415575,0.00415575,4000,1.0,factconsolidation_sh_6k_no9,0.00415575,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,1.9999165420304053,{},single_hop
Ellen Pompeo,False,6d8788538ba69e7e6c942c4624425b0a40362197577887d01a40cc72d27299db,2.01726900000358,4746,149,0.00411825,0.00411825,4000,1.0,factconsolidation_sh_6k_no11,0.00411825,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.0294154589646496,{},single_hop
Shahnameh,False,16d83298efb4cd1642cb045596af37420a16647a52ddc90d0bdb3df0331c7152,1.9891510420129634,4788,172,0.004236,0.004236,4000,1.0,factconsolidation_sh_6k_no3,0.004236,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.045772958023008,{},single_hop
Samuel Beckett,False,e14a9101c3c162ecde373386d1c13e277c0d205e00cd59260592bc1aeb4b0b4e,2.0237742500030436,4784,184,0.004278,0.004278,4000,1.0,factconsolidation_sh_6k_no14,0.004278,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.1988192499848083,{},single_hop
The Fairly OddParents,False,70b0314e555354493c03d1b3f7773f376d1c9a2467653807221e368a4808f932,2.288976875017397,4746,259,0.00453075,0.00453075,4000,1.0,factconsolidation_sh_6k_no1,0.00453075,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.300102084001992,{},single_hop
quarterback,False,53a5403f6b9dd65ee4f5483113cd97d431d9c82d8cad3501ddd151268cac7b43,2.2132891249493696,4769,293,0.0046755,0.0046755,4000,1.0,factconsolidation_sh_6k_no12,0.0046755,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.2926237499923445,{},single_hop
pesäpallo,False,7916456f82766c9825c2d3bc8830fc448a74a904f8392d0b8a56b94c4bae073f,2.4807910419767722,4767,291,0.0046665,0.0046665,4000,1.0,factconsolidation_sh_6k_no0,0.0046665,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.5160802919999696,{},single_hop
Thomas Kyd,False,ba95a06c6e56ce4eccab309604e0dd7e91d2ad572191ea3cfc64a207bfd9c5a2,2.4601371249882504,4749,245,0.0044805,0.0044805,4000,1.0,factconsolidation_sh_6k_no5,0.0044805,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.5636844169930555,{},single_hop
Africa,False,1f488e4ded89d08b3a1a45e0b55f75b99c64cf8d61f94ca825471e9b5e7d2293,2.5385305419913493,4779,228,0.00443925,0.00443925,4000,1.0,factconsolidation_sh_6k_no15,0.00443925,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.5699965829844587,{},single_hop
