query_id,pool,n_relevant,L4_corpus,L5_objective,L0_pooled,L1_chunks
q00000,security,18,0.444097,0.066254,0.133052,0.233651
q00001,procurement,27,0.563788,0.330138,0.384311,0.532897
q00002,legal,26,0.936379,0.936379,0.161043,0.778807
q00003,legal,25,0.57369,0.532141,0.066254,0.513529
q00004,procurement,26,0.422575,0.330138,0.399569,0.138862
q00005,procurement,29,0.642187,0.715186,0.220092,0.560611
q00006,procurement,21,0.551785,0.463644,0.163541,0.0
q00007,security,33,0.451667,0.562193,0.299905,0.543003
q00008,procurement,23,0.066254,0.073364,0.0,0.290625
q00009,legal,31,1.0,0.930569,0.750637,0.648932
q00010,security,31,0.765593,0.669126,0.593361,0.933746
q00011,security,24,0.220092,0.444097,0.384311,0.667826
q00012,security,30,0.358954,0.469,0.085143,0.617764
q00013,security,26,0.437352,0.437352,0.278198,0.49118
q00014,legal,19,0.693761,0.627507,0.248908,0.709375
q00015,legal,27,0.841493,0.926636,0.544676,0.738192
q00016,security,24,0.220092,0.510352,0.400023,0.627409
q00017,security,31,0.069431,0.570859,0.0,0.069431
q00018,procurement,28,0.094788,0.611019,0.358954,0.138862
q00019,legal,27,0.936379,1.0,0.517461,0.870125
q00020,legal,24,0.287448,0.334807,0.151762,0.544676
q00021,procurement,22,0.687195,0.930569,0.094788,0.760559
q00022,security,23,0.0,0.220092,0.0,0.066254
q00023,legal,27,0.841493,0.926636,0.544676,0.738192
q00024,security,31,0.686715,0.554899,0.65948,0.752969
q00025,legal,38,0.930569,0.848603,0.630043,0.698796
q00026,security,27,0.220092,0.248908,0.094788,0.069431
q00027,security,33,0.451667,0.562193,0.299905,0.543003
q00028,legal,38,0.930569,0.848603,0.630043,0.698796
q00029,legal,24,0.800694,0.860382,0.416382,0.779171
q00030,security,31,0.708441,0.617284,0.602052,0.866948
q00031,security,33,0.451667,0.562193,0.299905,0.543003
q00032,legal,24,0.769526,0.841493,0.233651,0.706563
q00033,procurement,24,0.275847,0.519997,0.283713,0.366801
q00034,procurement,29,0.469,0.632541,0.0,0.069431
q00035,procurement,27,0.563788,0.330138,0.384311,0.532897
q00036,legal,27,0.921602,0.866948,0.492006,0.784617
q00037,procurement,17,0.358954,0.085143,0.073364,0.142019
