seed,workload,query_id,pool,n_relevant,T_A,T_B
19,A,q00000,legal,16,0.870125,0.453743
19,A,q00001,security,19,0.0,0.0
19,A,q00002,legal,15,0.286692,0.300526
19,A,q00003,security,12,0.327307,0.281658
19,A,q00004,legal,14,0.293437,0.0
19,A,q00005,procurement,14,0.437352,0.469
19,A,q00006,security,28,0.510716,0.914857
19,A,q00007,legal,20,0.750637,0.831848
19,A,q00008,security,19,0.526613,0.573492
19,A,q00009,procurement,18,0.073364,0.0
19,A,q00010,procurement,20,0.501749,0.519997
19,A,q00011,legal,20,0.933746,0.63322
19,A,q00012,security,12,0.243098,0.355777
19,A,q00013,procurement,17,0.583433,0.173667
19,A,q00014,procurement,17,0.358954,0.368658
19,A,q00015,procurement,14,0.428385,0.532621
19,A,q00016,security,18,0.0,0.220092
19,A,q00017,security,13,0.318794,0.413128
19,A,q00018,legal,18,0.602328,0.212226
19,A,q00019,procurement,17,0.473387,0.378303
19,A,q00020,procurement,20,0.454498,0.588467
19,A,q00021,security,18,0.0,0.0
19,A,q00022,legal,14,0.549434,0.297272
19,A,q00023,procurement,16,0.469,0.066254
19,A,q00024,legal,20,0.845426,0.492006
19,A,q00025,procurement,11,0.066254,0.423331
19,A,q00026,security,18,0.0,0.094788
19,A,q00027,legal,18,0.623574,0.29849
19,A,q00028,procurement,18,0.570404,0.700773
19,A,q00029,legal,20,0.661831,0.47479
19,A,q00030,procurement,16,0.0,0.330138
19,A,q00031,security,28,0.554143,0.517461
19,A,q00032,security,18,0.144652,0.305235
19,A,q00033,procurement,18,0.469,0.620762
19,A,q00034,procurement,16,0.532621,0.110046
19,A,q00035,legal,9,0.832111,0.386714
19,A,q00036,security,28,0.554143,0.517461
19,A,q00037,security,19,0.0,0.0
19,A,q00038,procurement,11,0.0,0.488547
19,A,q00039,security,13,0.318794,0.413128
19,A,q00040,procurement,20,0.415281,0.437352
19,A,q00041,legal,20,0.933746,0.63322
19,A,q00042,security,17,0.085143,0.158409
19,A,q00043,legal,9,0.820423,0.235046
19,A,q00044,legal,20,0.800694,0.627409
19,A,q00045,procurement,18,0.469,0.642187
19,A,q00046,legal,20,0.800694,0.627409
19,A,q00047,procurement,11,0.415281,0.268455
19,A,q00048,security,19,0.0,0.0
19,A,q00049,legal,20,0.926636,0.705905
19,A,q00050,security,18,0.0,0.0
19,A,q00051,procurement,17,0.358954,0.368658
19,A,q00052,legal,10,0.29849,0.289523
19,A,q00053,legal,14,0.293437,0.0
19,A,q00054,procurement,20,0.469,0.469
19,A,q00055,procurement,16,0.18341,0.220092
19,A,q00056,security,18,0.0,0.220092
19,A,q00057,legal,15,0.753814,0.350313
19,A,q00058,procurement,16,0.469,0.138862
19,A,q00059,procurement,18,0.437352,0.61225
19,A,q00060,legal,20,0.926636,0.712552
19,A,q00061,procurement,11,0.129875,0.542364
19,A,q00062,procurement,16,0.469,0.066254
19,A,q00063,security,12,0.243098,0.355777
19,A,q00064,legal,27,0.930569,0.793584
19,A,q00065,security,12,0.243098,0.355777
19,A,q00066,procurement,14,0.330138,0.469
19,A,q00067,legal,10,0.29849,0.205117
19,A,q00068,procurement,18,0.570404,0.700773
19,A,q00069,security,17,0.094788,0.135685
19,A,q00070,procurement,16,0.469,0.066254
19,A,q00071,procurement,17,0.417061,0.469
19,A,q00072,security,12,0.138862,0.18341
19,A,q00073,procurement,20,0.501749,0.519997
19,A,q00074,security,24,0.222128,0.416382
19,A,q00075,procurement,16,0.469,0.138862
19,A,q00076,procurement,18,0.469,0.620762
19,A,q00077,legal,13,0.698796,0.393561
19,A,q00078,legal,15,0.864315,0.699474
19,A,q00079,legal,14,0.563788,0.289523
19,A,q00080,security,13,0.318794,0.413128
19,A,q00081,legal,20,0.926636,0.712552
19,A,q00082,legal,27,0.930569,0.793584
19,A,q00083,procurement,18,0.073364,0.0
19,A,q00084,legal,20,0.831848,0.864315
19,A,q00085,security,18,0.078398,0.179477
19,A,q00086,legal,20,0.845426,0.492006
19,A,q00087,procurement,11,0.239441,0.248908
19,A,q00088,security,19,0.0,0.0
19,A,q00089,procurement,20,0.428385,0.632541
19,A,q00090,security,24,0.222128,0.416382
19,A,q00091,security,19,0.236807,0.542818
19,A,q00092,procurement,20,0.469,0.469
19,A,q00093,security,13,0.318794,0.413128
19,A,q00094,procurement,18,0.469,0.620762
19,A,q00095,security,9,0.575499,0.344169
19,A,q00096,security,13,0.151397,0.453743
19,A,q00097,legal,20,0.926636,0.705905
19,A,q00098,legal,15,0.753814,0.350313
19,A,q00099,security,18,0.078398,0.179477
19,A,q00100,security,28,0.554143,0.517461
19,A,q00101,legal,20,0.866948,0.715551
19,A,q00102,legal,14,0.549434,0.297272
19,A,q00103,procurement,16,0.532621,0.110046
19,A,q00104,legal,18,0.623574,0.29849
19,A,q00105,security,13,0.066254,0.358954
19,A,q00106,procurement,11,0.415281,0.268455
19,A,q00107,legal,13,0.864315,0.535254
19,A,q00108,legal,13,0.936379,0.469
19,A,q00109,security,28,0.493679,0.784982
19,A,q00110,legal,20,0.831848,0.864315
19,A,q00111,procurement,16,0.18341,0.220092
19,A,q00112,security,22,0.0,0.293456
19,A,q00113,legal,20,0.800694,0.627409
19,A,q00114,procurement,14,0.29026,0.437352
19,A,q00115,security,12,0.327307,0.281658
19,A,q00116,procurement,17,0.569579,0.538431
19,A,q00117,procurement,18,0.570404,0.700773
19,A,q00118,security,12,0.327307,0.281658
19,A,q00119,security,17,0.860382,0.857981
19,A,q00120,legal,27,0.930569,0.793584
19,A,q00121,procurement,18,0.469,0.620762
19,A,q00122,legal,13,0.936379,0.469
19,A,q00123,procurement,16,0.0,0.0
19,A,q00124,legal,15,0.690648,0.425208
19,A,q00125,legal,16,0.905212,0.65948
19,A,q00126,security,13,0.360056,0.385413
19,A,q00127,security,12,0.110046,0.0
19,A,q00128,security,13,0.066254,0.358954
19,A,q00129,legal,10,0.29849,0.289523
19,A,q00130,legal,13,0.698796,0.393561
19,A,q00131,security,22,0.0,0.293456
19,A,q00132,procurement,14,0.437352,0.469
19,A,q00133,security,19,0.0,0.0
19,A,q00134,procurement,11,0.0,0.488547
19,A,q00135,security,19,0.38148,0.642187
19,A,q00136,procurement,20,0.501749,0.519997
19,A,q00137,security,12,0.0,0.073364
19,A,q00138,procurement,16,0.18341,0.220092
19,A,q00139,legal,16,0.905212,0.65948
19,A,q00140,security,17,0.147829,0.224663
19,A,q00141,legal,20,0.926636,0.705905
19,A,q00142,security,18,0.144652,0.305235
19,A,q00143,security,18,0.0,0.220092
19,A,q00144,legal,20,0.866948,0.715551
19,A,q00145,legal,16,0.905212,0.65948
19,A,q00146,security,28,0.510716,0.914857
19,A,q00147,security,28,0.554143,0.517461
19,A,q00148,procurement,16,0.179931,0.138862
19,A,q00149,security,17,0.085143,0.158409
19,A,q00150,security,18,0.144652,0.305235
19,A,q00151,procurement,16,0.532621,0.110046
19,A,q00152,legal,20,0.866948,0.863015
19,A,q00153,security,13,0.151397,0.453743
19,A,q00154,security,13,0.151397,0.453743
19,A,q00155,procurement,17,0.358954,0.368658
19,A,q00156,security,12,0.138862,0.144652
19,A,q00157,legal,20,0.926636,0.712552
19,A,q00158,security,24,0.542364,0.586892
19,A,q00159,procurement,13,0.722295,0.299905
19,A,q00160,procurement,17,0.473387,0.378303
19,A,q00161,procurement,17,0.417061,0.469
19,A,q00162,legal,15,0.298027,0.409951
19,A,q00163,security,24,0.158507,0.432279
19,A,q00164,legal,20,0.866948,0.715551
19,A,q00165,legal,20,0.750637,0.831848
19,A,q00166,legal,15,0.286692,0.300526
19,A,q00167,security,17,0.570404,0.407415
19,A,q00168,security,12,0.138862,0.18341
19,A,q00169,legal,18,0.623574,0.29849
19,A,q00170,legal,13,0.698796,0.393561
19,A,q00171,legal,15,0.753814,0.350313
19,A,q00172,procurement,18,0.073364,0.0
19,A,q00173,legal,10,0.29849,0.205117
19,A,q00174,legal,9,0.832111,0.386714
19,A,q00175,security,19,0.38148,0.642187
19,A,q00176,legal,16,0.870125,0.453743
19,A,q00177,legal,16,0.415281,0.208273
19,A,q00178,security,22,0.0,0.293456
19,A,q00179,procurement,13,0.577149,0.229796
19,A,q00180,security,22,0.0,0.293456
19,A,q00181,security,17,0.094788,0.135685
19,A,q00182,legal,15,0.864315,0.699474
19,A,q00183,legal,20,0.845426,0.492006
19,A,q00184,security,12,0.243098,0.355777
19,A,q00185,security,22,0.0,0.293456
19,A,q00186,security,13,0.360056,0.385413
19,A,q00187,legal,20,0.926636,0.712552
19,A,q00188,legal,27,0.870125,0.863015
19,A,q00189,legal,15,0.690648,0.425208
19,A,q00190,procurement,18,0.469,0.620762
19,A,q00191,legal,15,0.298027,0.409951
19,A,q00192,legal,15,0.716287,0.535254
19,A,q00193,legal,10,0.29849,0.289523
19,A,q00194,procurement,11,0.0,0.488547
19,A,q00195,procurement,20,0.469,0.469
19,A,q00196,security,19,0.236807,0.542818
19,A,q00197,legal,14,0.293437,0.0
19,A,q00198,procurement,16,0.469,0.138862
19,A,q00199,procurement,20,0.454498,0.588467
19,B,q00000,logistics,19,0.866948,0.583433
19,B,q00001,engineering,14,0.796761,0.712552
19,B,q00002,logistics,20,0.657899,0.782739
19,B,q00003,engineering,13,0.563788,0.642187
19,B,q00004,logistics,16,0.870125,0.860382
19,B,q00005,facilities,23,0.718363,0.866948
19,B,q00006,engineering,23,0.936379,0.914857
19,B,q00007,logistics,19,0.519997,0.366025
19,B,q00008,engineering,16,0.870125,0.870125
19,B,q00009,facilities,15,0.870125,1.0
19,B,q00010,facilities,23,0.678049,1.0
19,B,q00011,logistics,15,0.573038,0.378501
19,B,q00012,engineering,13,0.63322,0.538431
19,B,q00013,facilities,19,0.570404,0.722295
19,B,q00014,facilities,21,0.800694,0.936379
19,B,q00015,facilities,22,0.517461,0.637152
19,B,q00016,engineering,14,0.701973,0.866948
19,B,q00017,engineering,14,0.722295,0.721519
19,B,q00018,logistics,16,0.522496,0.517461
19,B,q00019,facilities,21,0.711618,0.576971
19,B,q00020,facilities,13,0.362887,0.706584
19,B,q00021,engineering,15,0.930569,1.0
19,B,q00022,logistics,16,0.775337,0.728912
19,B,q00023,facilities,18,0.790951,0.936379
19,B,q00024,logistics,13,0.784982,0.620397
19,B,q00025,facilities,18,0.648932,1.0
19,B,q00026,engineering,14,0.781805,0.796761
19,B,q00027,logistics,16,0.469756,0.513529
19,B,q00028,facilities,21,0.690194,0.800694
19,B,q00029,logistics,13,0.775337,0.605505
19,B,q00030,facilities,17,0.535254,0.793584
19,B,q00031,engineering,23,1.0,1.0
19,B,q00032,engineering,15,0.855348,0.866948
19,B,q00033,facilities,15,0.864315,1.0
19,B,q00034,facilities,18,0.698796,0.936379
19,B,q00035,logistics,18,0.800694,0.747159
19,B,q00036,engineering,23,1.0,1.0
19,B,q00037,engineering,14,0.715186,0.642187
19,B,q00038,facilities,18,0.699474,0.689829
19,B,q00039,engineering,14,0.722295,0.721519
19,B,q00040,facilities,23,0.718363,0.933746
19,B,q00041,logistics,15,0.573038,0.378501
19,B,q00042,engineering,10,0.636474,0.705808
19,B,q00043,logistics,18,0.718363,0.561713
19,B,q00044,logistics,15,0.408536,0.220092
19,B,q00045,facilities,15,0.800694,0.933746
19,B,q00046,logistics,15,0.408536,0.220092
19,B,q00047,facilities,14,0.503324,0.554143
19,B,q00048,engineering,14,0.715186,0.642187
19,B,q00049,logistics,19,0.510716,0.598875
19,B,q00050,engineering,15,0.930569,1.0
19,B,q00051,facilities,21,0.800694,0.936379
19,B,q00052,logistics,18,0.637152,0.589428
19,B,q00053,logistics,16,0.870125,0.860382
19,B,q00054,facilities,23,0.772838,0.857981
19,B,q00055,facilities,12,0.229796,0.790951
19,B,q00056,engineering,14,0.701973,0.866948
19,B,q00057,logistics,16,0.656982,0.533723
19,B,q00058,facilities,18,0.696938,0.573038
19,B,q00059,facilities,21,0.652864,0.933746
19,B,q00060,logistics,19,0.645755,0.503324
19,B,q00061,facilities,18,0.691128,0.936379
19,B,q00062,facilities,18,0.790951,0.936379
19,B,q00063,engineering,13,0.63322,0.538431
19,B,q00064,logistics,16,0.488645,0.617284
19,B,q00065,engineering,13,0.63322,0.538431
19,B,q00066,facilities,22,0.538431,0.563788
19,B,q00067,logistics,18,0.617764,0.407415
19,B,q00068,facilities,21,0.690194,0.800694
19,B,q00069,engineering,10,0.596538,0.722295
19,B,q00070,facilities,18,0.790951,0.936379
19,B,q00071,facilities,14,0.518119,0.538886
19,B,q00072,engineering,13,0.630043,0.712552
19,B,q00073,facilities,23,0.678049,1.0
19,B,q00074,engineering,21,0.791727,0.860382
19,B,q00075,facilities,18,0.696938,0.573038
19,B,q00076,facilities,15,0.864315,1.0
19,B,q00077,logistics,14,0.397672,0.360056
19,B,q00078,logistics,25,0.627507,0.444097
19,B,q00079,logistics,16,0.870125,0.851236
19,B,q00080,engineering,14,0.722295,0.721519
19,B,q00081,logistics,19,0.645755,0.503324
19,B,q00082,logistics,16,0.488645,0.617284
19,B,q00083,facilities,15,0.870125,1.0
19,B,q00084,logistics,19,0.517461,0.321496
19,B,q00085,engineering,15,0.796761,0.930569
19,B,q00086,logistics,13,0.784982,0.620397
19,B,q00087,facilities,14,0.327307,0.648932
19,B,q00088,engineering,14,0.796761,0.712552
19,B,q00089,facilities,13,0.463644,0.507539
19,B,q00090,engineering,21,0.791727,0.860382
19,B,q00091,engineering,16,0.800694,0.866948
19,B,q00092,facilities,23,0.772838,0.857981
19,B,q00093,engineering,14,0.722295,0.721519
19,B,q00094,facilities,15,0.864315,1.0
19,B,q00095,engineering,16,0.800694,0.784617
19,B,q00096,engineering,15,0.796761,0.930569
19,B,q00097,logistics,19,0.510716,0.598875
19,B,q00098,logistics,16,0.656982,0.533723
19,B,q00099,engineering,15,0.796761,0.930569
19,B,q00100,engineering,23,1.0,1.0
19,B,q00101,logistics,13,0.460359,0.514186
19,B,q00102,logistics,16,0.775337,0.728912
19,B,q00103,facilities,18,0.698796,0.936379
19,B,q00104,logistics,16,0.469756,0.513529
19,B,q00105,engineering,15,0.866948,0.930569
19,B,q00106,facilities,14,0.503324,0.554143
19,B,q00107,logistics,14,0.188444,0.147829
19,B,q00108,logistics,14,0.212226,0.063621
19,B,q00109,engineering,23,0.866948,0.936379
19,B,q00110,logistics,19,0.517461,0.321496
19,B,q00111,facilities,12,0.229796,0.790951
19,B,q00112,engineering,22,1.0,1.0
19,B,q00113,logistics,15,0.408536,0.220092
19,B,q00114,facilities,23,0.784982,0.696938
19,B,q00115,engineering,13,0.563788,0.642187
19,B,q00116,facilities,14,0.52633,0.469
19,B,q00117,facilities,21,0.690194,0.800694
19,B,q00118,engineering,13,0.563788,0.642187
19,B,q00119,engineering,20,0.605985,0.563788
19,B,q00120,logistics,16,0.488645,0.617284
19,B,q00121,facilities,15,0.864315,1.0
19,B,q00122,logistics,14,0.212226,0.063621
19,B,q00123,facilities,12,0.378783,0.800694
19,B,q00124,logistics,16,0.646119,0.604686
19,B,q00125,logistics,19,0.866948,0.491526
19,B,q00126,engineering,14,0.715551,0.57369
19,B,q00127,engineering,15,0.747935,0.563788
19,B,q00128,engineering,15,0.866948,0.930569
19,B,q00129,logistics,18,0.637152,0.589428
19,B,q00130,logistics,14,0.397672,0.360056
19,B,q00131,engineering,22,1.0,1.0
19,B,q00132,facilities,23,0.718363,0.866948
19,B,q00133,engineering,14,0.715186,0.642187
19,B,q00134,facilities,18,0.699474,0.689829
19,B,q00135,engineering,16,0.860382,0.870125
19,B,q00136,facilities,23,0.678049,1.0
19,B,q00137,engineering,15,0.763095,0.563788
19,B,q00138,facilities,12,0.229796,0.790951
19,B,q00139,logistics,19,0.866948,0.491526
19,B,q00140,engineering,10,0.554143,0.72733
19,B,q00141,logistics,19,0.510716,0.598875
19,B,q00142,engineering,15,0.855348,0.866948
19,B,q00143,engineering,14,0.701973,0.866948
19,B,q00144,logistics,13,0.460359,0.514186
19,B,q00145,logistics,19,0.866948,0.491526
19,B,q00146,engineering,23,0.936379,0.914857
19,B,q00147,engineering,23,1.0,1.0
19,B,q00148,facilities,12,0.44222,0.796761
19,B,q00149,engineering,10,0.636474,0.705808
19,B,q00150,engineering,15,0.855348,0.866948
19,B,q00151,facilities,18,0.698796,0.936379
19,B,q00152,logistics,19,0.274548,0.218016
19,B,q00153,engineering,15,0.796761,0.930569
19,B,q00154,engineering,15,0.796761,0.930569
19,B,q00155,facilities,21,0.800694,0.936379
19,B,q00156,engineering,15,0.793584,0.718363
19,B,q00157,logistics,19,0.645755,0.503324
19,B,q00158,engineering,21,0.708441,0.711618
19,B,q00159,facilities,14,0.330138,0.63322
19,B,q00160,facilities,21,0.711618,0.576971
19,B,q00161,facilities,14,0.518119,0.538886
19,B,q00162,logistics,20,0.625334,0.55908
19,B,q00163,engineering,21,0.72733,0.870125
19,B,q00164,logistics,13,0.460359,0.514186
19,B,q00165,logistics,19,0.519997,0.366025
19,B,q00166,logistics,20,0.657899,0.782739
19,B,q00167,engineering,17,0.870125,0.870125
19,B,q00168,engineering,13,0.630043,0.712552
19,B,q00169,logistics,16,0.469756,0.513529
19,B,q00170,logistics,14,0.397672,0.360056
19,B,q00171,logistics,16,0.656982,0.533723
19,B,q00172,facilities,15,0.870125,1.0
19,B,q00173,logistics,18,0.617764,0.407415
19,B,q00174,logistics,18,0.800694,0.747159
19,B,q00175,engineering,16,0.860382,0.870125
19,B,q00176,logistics,19,0.866948,0.583433
19,B,q00177,logistics,13,0.538431,0.554143
19,B,q00178,engineering,22,1.0,1.0
19,B,q00179,facilities,14,0.173667,0.278198
19,B,q00180,engineering,22,1.0,1.0
19,B,q00181,engineering,10,0.596538,0.722295
19,B,q00182,logistics,25,0.627507,0.444097
19,B,q00183,logistics,13,0.784982,0.620397
19,B,q00184,engineering,13,0.63322,0.538431
19,B,q00185,engineering,22,1.0,1.0
19,B,q00186,engineering,14,0.715551,0.57369
19,B,q00187,logistics,19,0.645755,0.503324
19,B,q00188,logistics,16,0.330138,0.437352
19,B,q00189,logistics,16,0.646119,0.604686
19,B,q00190,facilities,15,0.864315,1.0
19,B,q00191,logistics,20,0.625334,0.55908
19,B,q00192,logistics,25,0.705808,0.484712
19,B,q00193,logistics,18,0.637152,0.589428
19,B,q00194,facilities,18,0.699474,0.689829
19,B,q00195,facilities,23,0.772838,0.857981
19,B,q00196,engineering,16,0.800694,0.866948
19,B,q00197,logistics,16,0.870125,0.860382
19,B,q00198,facilities,18,0.696938,0.573038
19,B,q00199,facilities,13,0.362887,0.706584
