workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,security,18,0.274265,0.290625
A,q00001,procurement,27,0.936379,0.689829
A,q00002,legal,26,1.0,0.800694
A,q00003,legal,25,0.684018,0.395314
A,q00004,procurement,26,0.517461,0.289523
A,q00005,procurement,29,0.648932,0.667826
A,q00006,procurement,21,0.548154,0.722295
A,q00007,security,33,0.791727,0.69684
A,q00008,procurement,23,0.593361,0.437352
A,q00009,legal,31,0.921602,0.708441
A,q00010,security,31,0.712552,0.791727
A,q00011,security,24,0.469,0.378501
A,q00012,security,30,0.72733,0.541588
A,q00013,security,26,0.286346,0.538431
A,q00014,legal,19,0.650033,0.863015
A,q00015,legal,27,0.936379,0.608618
A,q00016,security,24,0.538431,0.415281
A,q00017,security,31,0.642187,0.453743
A,q00018,procurement,28,0.630043,0.513529
A,q00019,legal,27,1.0,0.416567
A,q00020,legal,24,0.16422,0.168152
A,q00021,procurement,22,0.563788,0.718363
A,q00022,security,23,0.220092,0.408536
A,q00023,legal,27,0.936379,0.608618
A,q00024,security,31,0.662114,0.753449
A,q00025,legal,38,0.930569,0.690194
A,q00026,security,27,0.554143,0.424926
A,q00027,security,33,0.791727,0.69684
A,q00028,legal,38,0.930569,0.690194
A,q00029,legal,24,0.936379,0.536554
A,q00030,security,31,0.677273,0.775337
A,q00031,security,33,0.791727,0.69684
A,q00032,legal,24,0.785916,0.46319
A,q00033,procurement,24,0.437352,0.69684
A,q00034,procurement,29,0.347136,0.094788
A,q00035,procurement,27,0.936379,0.689829
A,q00036,legal,27,0.933746,0.214084
A,q00037,procurement,17,0.517461,0.388244
A,q00038,legal,22,1.0,0.870125
A,q00039,legal,24,0.16422,0.168152
A,q00040,security,19,0.358954,0.252841
A,q00041,security,33,0.283713,0.403502
A,q00042,procurement,23,0.463644,0.627409
A,q00043,procurement,27,0.648932,0.469
A,q00044,security,30,0.800694,0.653147
A,q00045,security,30,0.800694,0.653147
A,q00046,procurement,32,0.8237,0.796761
A,q00047,legal,24,0.78855,0.349967
A,q00048,legal,27,1.0,0.554143
A,q00049,security,31,0.632541,0.444097
A,q00050,legal,25,0.642187,0.460813
A,q00051,procurement,22,0.453743,0.138862
A,q00052,security,22,0.456997,0.573038
A,q00053,security,18,0.274265,0.290625
A,q00054,security,18,0.274265,0.290625
A,q00055,legal,25,0.905212,0.790951
A,q00056,procurement,24,0.437352,0.69684
A,q00057,security,27,0.563788,0.501749
A,q00058,legal,27,0.933746,0.214084
A,q00059,legal,26,1.0,0.800694
A,q00060,legal,32,1.0,1.0
A,q00061,legal,24,0.722295,0.617585
A,q00062,legal,31,0.936379,0.604686
A,q00063,legal,24,0.608317,0.246551
A,q00064,procurement,27,0.936379,0.689829
A,q00065,legal,26,0.930569,0.870125
A,q00066,legal,24,0.158409,0.212226
A,q00067,procurement,27,0.648932,0.469
A,q00068,legal,31,0.926636,0.715186
A,q00069,legal,19,0.650033,0.863015
A,q00070,procurement,29,0.662114,0.72733
