workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,security,18,0.286346,0.392158
A,q00001,procurement,27,0.860382,0.772838
A,q00002,legal,26,0.866948,0.221193
A,q00003,legal,25,0.547398,0.453064
A,q00004,procurement,26,0.158409,0.393758
A,q00005,procurement,29,0.563788,0.378501
A,q00006,procurement,21,0.472157,0.085143
A,q00007,security,33,0.793584,0.866948
A,q00008,procurement,23,0.415281,0.110046
A,q00009,legal,31,1.0,0.811556
A,q00010,security,31,0.936379,1.0
A,q00011,security,24,0.718363,0.648932
A,q00012,security,30,0.469,0.870125
A,q00013,security,26,0.220092,0.781805
A,q00014,legal,19,0.705808,0.378501
A,q00015,legal,27,0.696162,0.358954
A,q00016,security,24,0.793584,0.800694
A,q00017,security,31,0.617284,0.800694
A,q00018,procurement,28,0.563788,0.428385
A,q00019,legal,27,0.930569,0.38148
A,q00020,legal,24,0.507539,0.142795
A,q00021,procurement,22,0.52633,0.305235
A,q00022,security,23,0.293456,0.602052
A,q00023,legal,27,0.696162,0.358954
A,q00024,security,31,0.836459,0.936379
A,q00025,legal,38,0.696938,0.860382
A,q00026,security,27,0.507718,0.648932
A,q00027,security,33,0.793584,0.866948
A,q00028,legal,38,0.696938,0.860382
A,q00029,legal,24,0.848603,0.595762
A,q00030,security,31,0.864315,1.0
A,q00031,security,33,0.793584,0.866948
A,q00032,legal,24,0.836459,0.503324
A,q00033,procurement,24,0.459533,0.173187
A,q00034,procurement,29,0.591927,0.220092
A,q00035,procurement,27,0.860382,0.772838
A,q00036,legal,27,0.750336,0.452147
A,q00037,procurement,17,0.403502,0.551331
A,q00038,legal,22,1.0,0.212226
A,q00039,legal,24,0.507539,0.142795
A,q00040,security,19,0.863015,0.718363
A,q00041,security,33,0.532621,0.648932
A,q00042,procurement,23,0.69684,0.444097
A,q00043,procurement,27,0.860382,0.453743
A,q00044,security,30,0.538431,0.870125
A,q00045,security,30,0.538431,0.870125
A,q00046,procurement,32,0.442022,0.541588
A,q00047,legal,24,0.756902,0.424926
A,q00048,legal,27,0.921602,0.500973
A,q00049,security,31,0.358954,0.775337
A,q00050,legal,25,0.532621,0.403502
A,q00051,procurement,22,0.220092,0.138862
A,q00052,security,22,0.870125,0.936379
A,q00053,security,18,0.286346,0.392158
A,q00054,security,18,0.286346,0.392158
A,q00055,legal,25,0.702631,0.220092
A,q00056,procurement,24,0.459533,0.173187
