workload,query_id,pool,n_relevant,T_A,T_B
A,q00000,security,18,0.447932,0.334051
A,q00001,procurement,27,0.466642,0.208294
A,q00002,legal,26,0.845426,0.535254
A,q00003,legal,25,0.453743,0.60514
A,q00004,procurement,26,0.330138,0.142019
A,q00005,procurement,29,0.657899,0.289523
A,q00006,procurement,21,0.469756,0.286346
A,q00007,security,33,0.542364,0.620397
A,q00008,procurement,23,0.358954,0.0
A,q00009,legal,31,0.936379,0.848603
A,q00010,security,31,0.602506,1.0
A,q00011,security,24,0.453743,0.469
A,q00012,security,30,0.29849,0.078398
A,q00013,security,26,0.147829,0.63322
A,q00014,legal,19,0.535254,0.637152
A,q00015,legal,27,0.921602,0.627409
A,q00016,security,24,0.567227,0.358954
A,q00017,security,31,0.220092,0.648932
A,q00018,procurement,28,0.428385,0.209049
A,q00019,legal,27,0.852171,0.539187
A,q00020,legal,24,0.349487,0.479382
A,q00021,procurement,22,0.637152,0.563788
A,q00022,security,23,0.0,0.073364
A,q00023,legal,27,0.921602,0.627409
A,q00024,security,31,0.672693,0.864315
A,q00025,legal,38,0.921602,0.617764
A,q00026,security,27,0.424926,0.469
A,q00027,security,33,0.542364,0.620397
A,q00028,legal,38,0.921602,0.617764
A,q00029,legal,24,0.715551,0.293456
A,q00030,security,31,0.657899,0.864315
A,q00031,security,33,0.542364,0.620397
A,q00032,legal,24,0.779171,0.35971
A,q00033,procurement,24,0.444097,0.358954
A,q00034,procurement,29,0.583618,0.0
A,q00035,procurement,27,0.466642,0.208294
A,q00036,legal,27,0.845426,0.385413
A,q00037,procurement,17,0.220092,0.248908
A,q00038,legal,22,0.848603,0.358954
A,q00039,legal,24,0.349487,0.479382
A,q00040,security,19,0.390927,0.358954
A,q00041,security,33,0.293456,0.538886
A,q00042,procurement,23,0.42884,0.148764
A,q00043,procurement,27,0.722295,0.430421
A,q00044,security,30,0.428385,0.249363
A,q00045,security,30,0.428385,0.249363
A,q00046,procurement,32,0.769526,0.542818
A,q00047,legal,24,0.684018,0.147829
A,q00048,legal,27,0.860382,0.715551
A,q00049,security,31,0.220092,0.538886
A,q00050,legal,25,0.393278,0.613653
A,q00051,procurement,22,0.563788,0.408536
A,q00052,security,22,0.26462,0.936379
A,q00053,security,18,0.447932,0.334051
A,q00054,security,18,0.447932,0.334051
A,q00055,legal,25,0.511651,0.596538
A,q00056,procurement,24,0.444097,0.358954
A,q00057,security,27,0.29849,0.554143
A,q00058,legal,27,0.845426,0.385413
A,q00059,legal,26,0.845426,0.535254
A,q00060,legal,32,1.0,0.936379
A,q00061,legal,24,0.543003,0.358954
A,q00062,legal,31,0.933746,0.791727
A,q00063,legal,24,0.257875,0.305235
A,q00064,procurement,27,0.466642,0.208294
A,q00065,legal,26,0.772838,0.469
A,q00066,legal,24,0.352664,0.598875
A,q00067,procurement,27,0.722295,0.430421
A,q00068,legal,31,0.248908,0.57369
A,q00069,legal,19,0.535254,0.637152
A,q00070,procurement,29,0.630043,0.085143
A,q00071,security,31,0.220092,0.648932
A,q00072,procurement,23,0.532141,0.469
A,q00073,procurement,29,0.110046,0.281658
A,q00074,security,19,0.261443,0.437352
A,q00075,legal,27,0.852171,0.539187
A,q00076,security,24,0.567227,0.358954
A,q00077,procurement,29,0.563788,0.0
A,q00078,procurement,28,0.428385,0.209049
A,q00079,procurement,28,0.358954,0.0
A,q00080,legal,38,1.0,0.769526
A,q00081,security,23,0.0,0.0
A,q00082,procurement,27,0.466642,0.208294
A,q00083,security,19,0.261443,0.437352
A,q00084,security,33,0.110046,0.542364
A,q00085,procurement,29,0.563788,0.0
A,q00086,legal,22,0.848603,0.358954
A,q00087,procurement,23,0.257875,0.085143
A,q00088,security,22,0.330138,0.469
A,q00089,security,19,0.390927,0.358954
A,q00090,procurement,27,0.0,0.0
A,q00091,security,18,0.447932,0.334051
A,q00092,security,18,0.403502,0.538886
A,q00093,security,26,0.309806,0.469
A,q00094,legal,24,0.715551,0.293456
A,q00095,procurement,32,0.646856,0.519319
A,q00096,security,33,0.378501,0.554143
A,q00097,legal,25,0.495939,0.456899
A,q00098,security,19,0.390927,0.358954
A,q00099,legal,28,0.804811,0.393278
A,q00100,legal,27,0.762416,0.649687
A,q00101,legal,25,0.393278,0.613653
A,q00102,procurement,23,0.469,0.400023
A,q00103,security,31,0.672693,0.864315
A,q00104,legal,26,0.772838,0.469
A,q00105,security,27,0.29849,0.554143
A,q00106,procurement,29,0.138862,0.085143
A,q00107,procurement,29,0.657899,0.289523
A,q00108,legal,25,0.511651,0.596538
A,q00109,procurement,32,0.652864,0.466642
A,q00110,security,24,0.567227,0.358954
A,q00111,procurement,26,0.510069,0.366801
A,q00112,procurement,21,0.469756,0.286346
A,q00113,security,18,0.403502,0.538886
A,q00114,security,23,0.0,0.073364
A,q00115,legal,31,0.926636,0.765593
A,q00116,procurement,29,0.110046,0.281658
A,q00117,procurement,29,0.576688,0.248908
A,q00118,legal,28,0.804811,0.393278
A,q00119,procurement,23,0.469,0.400023
A,q00120,procurement,29,0.110046,0.281658
A,q00121,procurement,17,0.31488,0.078398
A,q00122,procurement,21,0.215383,0.220092
A,q00123,legal,25,0.665949,0.781984
A,q00124,legal,38,0.921602,0.617764
A,q00125,legal,25,0.393278,0.613653
A,q00126,procurement,21,0.469756,0.286346
A,q00127,procurement,22,0.637152,0.563788
A,q00128,security,31,0.220092,0.712552
A,q00129,legal,32,0.921602,0.936379
A,q00130,legal,19,0.535254,0.637152
A,q00131,legal,28,0.652371,0.438108
A,q00132,procurement,29,0.576688,0.248908
A,q00133,security,18,0.403502,0.538886
A,q00134,security,42,0.523174,1.0
A,q00135,legal,32,0.936379,0.933746
A,q00136,procurement,23,0.42884,0.148764
A,q00137,security,33,0.542364,0.620397
A,q00138,security,31,0.672693,0.864315
A,q00139,security,30,0.29849,0.078398
A,q00140,procurement,27,0.466642,0.208294
A,q00141,security,23,0.142795,0.0
A,q00142,security,42,0.523174,1.0
A,q00143,security,31,0.657899,0.864315
A,q00144,security,31,0.220092,0.538886
A,q00145,procurement,24,0.444097,0.358954
A,q00146,security,19,0.390927,0.358954
A,q00147,procurement,22,0.637152,0.563788
A,q00148,legal,19,0.484712,0.684018
A,q00149,security,31,0.220092,0.712552
B,q00000,engineering,26,0.563788,0.72733
B,q00001,facilities,25,0.775994,0.930569
B,q00002,logistics,25,0.358954,0.220092
B,q00003,logistics,20,0.299905,0.188444
B,q00004,facilities,23,0.562193,0.605505
B,q00005,facilities,36,0.777872,1.0
B,q00006,facilities,21,0.424926,0.248908
B,q00007,engineering,35,0.933746,0.936379
B,q00008,facilities,29,0.672239,0.648932
B,q00009,logistics,31,0.161043,0.46271
B,q00010,engineering,31,0.374666,0.424926
B,q00011,engineering,21,0.722295,0.790951
B,q00012,engineering,22,0.936379,1.0
B,q00013,engineering,35,1.0,1.0
B,q00014,logistics,33,0.331694,0.209049
B,q00015,logistics,20,0.800694,0.671938
B,q00016,engineering,21,0.72733,0.936379
B,q00017,engineering,29,0.826333,0.921602
B,q00018,facilities,27,0.790951,1.0
B,q00019,logistics,27,0.368376,0.367921
B,q00020,logistics,31,0.371489,0.451865
B,q00021,facilities,28,0.870125,0.800694
B,q00022,engineering,22,0.795166,0.722295
B,q00023,logistics,20,0.800694,0.671938
B,q00024,engineering,31,0.362887,0.469
B,q00025,logistics,25,0.703407,0.614107
B,q00026,engineering,23,0.791727,0.863015
B,q00027,engineering,35,0.933746,0.936379
B,q00028,logistics,25,0.703407,0.614107
B,q00029,logistics,22,0.532621,0.567227
B,q00030,engineering,31,0.46271,0.507539
B,q00031,engineering,35,0.933746,0.936379
B,q00032,logistics,22,0.690194,0.668761
B,q00033,facilities,33,0.34052,0.627409
B,q00034,facilities,36,0.686715,1.0
B,q00035,facilities,25,0.775994,0.930569
B,q00036,logistics,27,0.403502,0.674936
B,q00037,facilities,26,0.820523,1.0
B,q00038,logistics,28,0.508474,0.617284
B,q00039,logistics,31,0.371489,0.451865
B,q00040,engineering,28,0.794883,0.936379
B,q00041,engineering,20,0.864315,0.800694
B,q00042,facilities,31,0.469737,0.936379
B,q00043,facilities,31,0.870125,1.0
B,q00044,engineering,22,0.930569,0.933746
B,q00045,engineering,22,0.930569,0.933746
B,q00046,facilities,29,0.403502,0.657899
B,q00047,logistics,22,0.432318,0.284449
B,q00048,logistics,20,0.793584,0.469454
B,q00049,engineering,29,0.72733,0.791727
