accuracy,accuracy_answered,answer_cached_questions,answer_cost_per_correct_usd,answer_cost_usd,answer_p50_seconds,answer_p95_seconds,answer_tokens_in,answer_tokens_out,answered,binary_scored,cohort,config_sha256,context_budget_tokens,correct,cost_per_correct_basis,dataset,empty_answer_questions,evaluation_cost_usd,exact_match_accuracy,f1_mean,incremental_answer_usd_recorded,incremental_api_usd_recorded,index_llm_usd,index_seconds,index_storage_bytes,indexed_groups,judge,logical_answer_cost_usd,mean_context_tokens,mean_score,mean_score_denominator,questions,reader,requested_questions,retrieval_gold_questions,retrieval_incomplete_evidence_excluded,retrieval_metrics,retrieval_p50_seconds,retrieval_p95_seconds,retrieved,scope,score_label,score_metric,scored,serving_p50_seconds,serving_p95_seconds,source_corpus_bytes,source_groups,source_tokens,source_tokens_complete,status,type,unanswered,unscored,variant,verified_correct_fraction_of_full
0.8212765957446808,0.8212765957446808,1,0.007299,1.408707,4.870328875025734,5.663540012401063,1084631.0,158729.0,235,235,bridge_comparison,412c63d7698d2407eeff1e51ccb4f4566fc1921924e911521f702eeeb978844e,4000,193.0,exact_match,2wikimultihopqa,2,0.0,0.8212765957446808,0.8241222580857651,1.408707,1.408707,0.0,113.35919408302289,10230210,1,gemini-2.5-flash-lite,1.408707,3999.123404255319,0.8241222580857651,235,235,gemini-3.6-flash,235,235,0,"{""all_evidence_at_budget"": 0.01276595744680851, ""evidence_recall_at_budget"": 0.5691489361702128, ""recall_at_10"": 0.5404255319148936, ""recall_at_100"": 0.625531914893617, ""recall_at_5"": 0.5159574468085106}",0.04362554202089086,0.051565399998798965,235,full,F1 / exact match,"[""f1""]",235,4.914592249959242,5.704222324874717,3439888,1,624234.0,True,complete,bridge_comparison,0,0,"HippoRAG 2 released 1,000-question sample; shared full sampled corpus",0.8212765957446808
0.9672131147540983,0.9672131147540983,0,0.004665168432203391,1.1009797500000003,2.4148386669985484,4.05749276872084,1139928.0,65609.0,244,244,comparison,412c63d7698d2407eeff1e51ccb4f4566fc1921924e911521f702eeeb978844e,4000,236.0,exact_match,2wikimultihopqa,0,0.0,0.9672131147540983,0.9677254098360656,1.1009797500000003,1.1009797500000003,0.0,113.35919408302289,10230210,1,gemini-2.5-flash-lite,1.1009797500000003,3998.6680327868853,0.9677254098360656,244,244,gemini-3.6-flash,244,244,0,"{""all_evidence_at_budget"": 0.9959016393442623, ""evidence_recall_at_budget"": 0.9979508196721312, ""recall_at_10"": 0.9754098360655737, ""recall_at_100"": 1.0, ""recall_at_5"": 0.9200819672131147}",0.04483127046842128,0.05318809109157883,244,full,F1 / exact match,"[""f1""]",244,2.4658658135158475,4.101272858915036,3439888,1,624234.0,True,complete,comparison,0,0,"HippoRAG 2 released 1,000-question sample; shared full sampled corpus",0.9672131147540983
0.26150121065375304,0.26150121065375304,0,0.021960243055555554,2.37170625,4.348565666005015,5.539001441805158,1921060.0,248243.0,413,413,compositional,412c63d7698d2407eeff1e51ccb4f4566fc1921924e911521f702eeeb978844e,4000,108.0,exact_match,2wikimultihopqa,1,0.0,0.26150121065375304,0.351855420247573,2.37170625,2.37170625,0.0,113.35919408302289,10230210,1,gemini-2.5-flash-lite,2.37170625,3999.0217917675545,0.351855420247573,413,413,gemini-3.6-flash,413,413,0,"{""all_evidence_at_budget"": 0.39709443099273606, ""evidence_recall_at_budget"": 0.698547215496368, ""recall_at_10"": 0.6573849878934624, ""recall_at_100"": 0.7699757869249395, ""recall_at_5"": 0.6174334140435835}",0.043413458042778075,0.051325508789159355,413,full,F1 / exact match,"[""f1""]",413,4.391731792013161,5.576640075386967,3439888,1,624234.0,True,complete,compositional,0,0,"HippoRAG 2 released 1,000-question sample; shared full sampled corpus",0.26150121065375304
0.6296296296296297,0.6296296296296297,0,0.008548566176470585,0.5813024999999998,3.3840111874742433,5.40964845183771,506355.0,53743.0,108,108,inference,412c63d7698d2407eeff1e51ccb4f4566fc1921924e911521f702eeeb978844e,4000,68.0,exact_match,2wikimultihopqa,0,0.0,0.6296296296296297,0.7602940226096849,0.5813024999999998,0.5813024999999998,0.0,113.35919408302289,10230210,1,gemini-2.5-flash-lite,0.5813024999999998,3998.8703703703704,0.7602940226096849,108,108,gemini-3.6-flash,108,108,0,"{""all_evidence_at_budget"": 0.6481481481481481, ""evidence_recall_at_budget"": 0.8240740740740741, ""recall_at_10"": 0.7546296296296297, ""recall_at_100"": 0.8796296296296297, ""recall_at_5"": 0.6944444444444444}",0.043425103998743,0.05028538114274852,108,full,F1 / exact match,"[""f1""]",108,3.4296235624933615,5.457082606264156,3439888,1,624234.0,True,complete,inference,0,0,"HippoRAG 2 released 1,000-question sample; shared full sampled corpus",0.6296296296296297
,,0,,0.20250674999999996,4.139462812512647,6.074368100325228,160394.0,21923.0,40,0,abstention,476236457261c10bbce3a95792a56b21b05ec5be1a59c47e0971513c3f05331e,4000,,,beam_100k,0,0.004947000000000001,,,0.20250674999999996,0.20745375000000005,0.0,684.9726879168884,27561909,20,gemini-2.5-flash-lite,0.20250674999999996,3999.95,0.85,40,40,gemini-3.6-flash,40,0,0,{},0.06062072850181721,0.08551132947031873,40,full,graded rubric mean,"[""beam_rubric_mean""]",40,4.2226383955276106,6.130780237840372,13375834,20,2845367.0,True,complete,abstention,0,0,beam_100k,
,,0,,0.21899325000000003,4.602803416986717,5.965520819029188,160076.0,26383.0,40,0,contradiction_resolution,476236457261c10bbce3a95792a56b21b05ec5be1a59c47e0971513c3f05331e,4000,,,beam_100k,0,0.0195555,,,0.21899325000000003,0.23809035,0.0,684.9726879168884,27561909,20,gemini-2.5-flash-lite,0.21899325000000003,4000.0,0.259375,40,40,gemini-3.6-flash,40,40,0,"{""all_evidence_at_budget"": 0.375, ""evidence_recall_at_budget"": 0.6775, ""recall_at_10"": 0.69, ""recall_at_100"": 0.9325, ""recall_at_5"": 0.6608333333333334}",0.065917083498789,0.08751487258705307,40,full,graded rubric mean,"[""beam_rubric_mean""]",40,4.668989396013785,6.022555762782576,13375834,20,2845367.0,True,complete,contradiction_resolution,0,0,beam_100k,
,,0,,0.23359350000000004,5.3742527084832545,6.030225839596824,159953.0,30301.0,40,0,event_ordering,476236457261c10bbce3a95792a56b21b05ec5be1a59c47e0971513c3f05331e,4000,,,beam_100k,0,0.029776699999999993,,,0.23359350000000004,0.26337020000000005,0.0,684.9726879168884,27561909,20,gemini-2.5-flash-lite,0.23359350000000004,4000.0,0.02773809523809524,40,40,gemini-3.6-flash,40,40,0,"{""all_evidence_at_budget"": 0.0, ""evidence_recall_at_budget"": 0.026180555555555554, ""recall_at_10"": 0.026180555555555554, ""recall_at_100"": 0.406984126984127, ""recall_at_5"": 0.023402777777777776}",0.06335420851246454,0.11700572502450085,40,full,graded rubric mean,"[""beam_rubric_mean""]",40,5.440975000470644,6.07613088186772,13375834,20,2845367.0,True,complete,event_ordering,0,0,beam_100k,
,,0,,0.19731749999999998,4.000496208493132,5.9064740732661445,161360.0,20346.0,40,0,information_extraction,476236457261c10bbce3a95792a56b21b05ec5be1a59c47e0971513c3f05331e,4000,,,beam_100k,0,0.011265100000000004,,,0.19731749999999998,0.2085826,0.0,684.9726879168884,27561909,20,gemini-2.5-flash-lite,0.19731749999999998,3999.575,0.5020833333333333,40,40,gemini-3.6-flash,40,40,0,"{""all_evidence_at_budget"": 0.475, ""evidence_recall_at_budget"": 0.5666666666666667, ""recall_at_10"": 0.6083333333333333, ""recall_at_100"": 0.9333333333333333, ""recall_at_5"": 0.55}",0.06749097898136824,0.10635205207508988,40,full,graded rubric mean,"[""beam_rubric_mean""]",40,4.077296000497881,5.965366730187088,13375834,20,2845367.0,True,complete,information_extraction,0,0,beam_100k,
,,0,,0.20982899999999996,4.422526250535157,5.850643395571387,159677.0,24019.0,40,0,instruction_following,476236457261c10bbce3a95792a56b21b05ec5be1a59c47e0971513c3f05331e,4000,,,beam_100k,0,0.0072063,,,0.20982899999999996,0.21703530000000001,0.0,684.9726879168884,27561909,20,gemini-2.5-flash-lite,0.20982899999999996,3999.4,0.2875,40,40,gemini-3.6-flash,40,40,0,"{""all_evidence_at_budget"": 0.05, ""evidence_recall_at_budget"": 0.075, ""recall_at_10"": 0.1, ""recall_at_100"": 0.76875, ""recall_at_5"": 0.075}",0.06969204201595858,0.10430978990916626,40,full,graded rubric mean,"[""beam_rubric_mean""]",40,4.484832187532447,5.928977072698762,13375834,20,2845367.0,True,complete,instruction_following,0,0,beam_100k,
,,0,,0.20937749999999997,4.480704020999838,5.820389172885916,163450.0,23144.0,40,0,knowledge_update,476236457261c10bbce3a95792a56b21b05ec5be1a59c47e0971513c3f05331e,4000,,,beam_100k,0,0.004826300000000002,,,0.20937749999999997,0.21420380000000003,0.0,684.9726879168884,27561909,20,gemini-2.5-flash-lite,0.20937749999999997,3999.525,0.525,40,40,gemini-3.6-flash,40,40,0,"{""all_evidence_at_budget"": 0.525, ""evidence_recall_at_budget"": 0.6958333333333333, ""recall_at_10"": 0.8083333333333333, ""recall_at_100"": 0.9375, ""recall_at_5"": 0.63125}",0.06985204148804769,0.09817828121595075,40,full,graded rubric mean,"[""beam_rubric_mean""]",40,4.587945250503253,5.890409953441121,13375834,20,2845367.0,True,complete,knowledge_update,0,0,beam_100k,
