answer,answer_cached,answer_key,answer_seconds,answer_tokens_in,answer_tokens_out,answer_usd,cash_usd,context_tokens,correct,id,incremental_answer_usd,incremental_judge_usd,judge,judge_keys,judge_usd,metric,reader,score,seconds,supplementary,type
D,False,b32216949f0cdd17f3fe9ae3713da7be6038274d7f8a365fb2430d600d06b305,3.3226424169843085,4647,492,0.00533025,0.00533025,4000,1.0,personamem_v2_32k:q00015,0.00533025,0,,[],0,mcq,gemini-3.6-flash,1.0,3.4824675410054624,{},therapy_background
A,False,45abfae06eb7e59e43d3745e1dbe6ffcea50253d8b706037ce7bc6f56ae6ad71,3.855257500021253,4609,487,0.005283,0.005283,4000,1.0,personamem_v2_32k:q00013,0.005283,0,,[],0,mcq,gemini-3.6-flash,1.0,3.9062121249735355,{},anti_stereotypical_pref
B,False,3bcf41de9f99ce364db3dbbd2c92ebdcfa0fb782867fb6d4be8b8f383113191f,4.47141208301764,4617,700,0.00608775,0.00608775,4000,1.0,personamem_v2_32k:q00003,0.00608775,0,,[],0,mcq,gemini-3.6-flash,1.0,4.504124541010242,{},anti_stereotypical_pref
C,False,157f89d667fc6c28ae1f765bbce205d731d29ba0e2cb64621bbee849f5d6d939,4.666524709027726,4379,735,0.0060405,0.0060405,4000,1.0,personamem_v2_32k:q00009,0.0060405,0,,[],0,mcq,gemini-3.6-flash,1.0,4.680592958000489,{},ask_to_forget
A,False,6cb25c708adae0cdfc519edd28bd42ef885e316699bb82e833bc3c20c9a83a78,4.832783417019527,4304,737,0.00599175,0.00599175,4000,1.0,personamem_v2_32k:q00007,0.00599175,0,,[],0,mcq,gemini-3.6-flash,1.0,4.87773266696604,{},neutral_preferences
"boundaries between your work and personal time, and take short breaks to do something you enjoy. Even a few minutes to yourself each day can make it easier to",False,ec5af6003b2f754d2c7b4984b1892a52cd8f7670faac48e29096c74922d133c0,4.9809661250328645,4373,764,0.00614475,0.00614475,4000,0.0,personamem_v2_32k:q00012,0.00614475,0,,[],0,mcq,gemini-3.6-flash,0.0,5.091250374971423,{},therapy_background
A,False,58fc03d2f2bf22b1326f16b9086a8a6ae99d971f2965c6421bea765f9ebe4136,5.063355874968693,4586,535,0.00544575,0.00544575,4000,1.0,personamem_v2_32k:q00004,0.00544575,0,,[],0,mcq,gemini-3.6-flash,1.0,5.20079337497009,{},neutral_preferences
A,False,2fe02f2b6b6732f4d2bb18c8d8a84d48f9316cb5fde66adfaa2f5f8c0ecf636f,5.28651737497421,4523,650,0.00582975,0.00582975,4000,0.0,personamem_v2_32k:q00005,0.00582975,0,,[],0,mcq,gemini-3.6-flash,0.0,5.367053624999244,{},health_and_medical_conditions
B,False,fed2a406a2b95a05c252490ece32f537333746da6dce354cc70eb37422c6db48,5.526940083014779,4401,733,0.0060495,0.0060495,4000,0.0,personamem_v2_32k:q00002,0.0060495,0,,[],0,mcq,gemini-3.6-flash,0.0,5.539823125000112,{},therapy_background
B,False,60bd9f38db47271c9617a8ef480fcb1e38a4bf57127829d8bac8b83d317b87b3,5.499907749996055,4463,737,0.006111,0.006111,4000,0.0,personamem_v2_32k:q00014,0.006111,0,,[],0,mcq,gemini-3.6-flash,0.0,5.534321249986533,{},anti_stereotypical_pref
C,False,84d2a63a31587695a5fded83e427c73380d9d07c3f7f98cca9fe3ce5d150d954,5.623731833999045,4404,735,0.00605925,0.00605925,4000,0.0,personamem_v2_32k:q00008,0.00605925,0,,[],0,mcq,gemini-3.6-flash,0.0,5.722015250008553,{},stereotypical_pref
C,False,397f676ed6a61561b876c727c155bf3a8af076b4fb916139b127c3ac6ad1672c,5.693175833032001,4458,663,0.00582975,0.00582975,4000,1.0,personamem_v2_32k:q00006,0.00582975,0,,[],0,mcq,gemini-3.6-flash,1.0,5.764435500022955,{},health_and_medical_conditions
C,False,13636b3e1c4d8767155fb23697203ba49749f0596f3a686240dde822f7566806,5.737270209006965,4559,733,0.006168,0.006168,4000,1.0,personamem_v2_32k:q00001,0.006168,0,,[],0,mcq,gemini-3.6-flash,1.0,5.848309624998365,{},therapy_background
A,False,c07fc923fe5e6b91190c1cdcc21bdfd73b1edcefbf63ccfacb5e2588a495b912,5.839024416985922,4435,735,0.0060825,0.0060825,4000,0.0,personamem_v2_32k:q00010,0.0060825,0,,[],0,mcq,gemini-3.6-flash,0.0,5.8610247079632245,{},anti_stereotypical_pref
C,False,e5f4e66748bf343b3db949a55b2bb3cab23fd85f7391a6907bb4fcacde8777c0,6.049894625029992,4309,741,0.0060105,0.0060105,4000,1.0,personamem_v2_32k:q00011,0.0060105,0,,[],0,mcq,gemini-3.6-flash,1.0,6.1900124159874395,{},therapy_background
C,False,0d1bbc3efc7bb2b2d1fa54768197023d995ea14ea4eb500d0b0a6aa4ea682282,6.23708254203666,4448,737,0.00609975,0.00609975,4000,0.0,personamem_v2_32k:q00000,0.00609975,0,,[],0,mcq,gemini-3.6-flash,0.0,6.4671124999877065,{},anti_stereotypical_pref
D,False,d5e9e62663d9f347c78b751d9dae2e9c02841ec88a90ad80e7133071584ba0bf,3.026738457963802,4313,407,0.004761,0.004761,4000,0.0,personamem_v2_32k:q00017,0.004761,0,,[],0,mcq,gemini-3.6-flash,0.0,3.0839479580172338,{},stereotypical_pref
B,False,3d59e10b3fde1a2cf9a8bd648d4f91edfc650c047853a1af42a6c00e15ad3c12,3.084731124981772,4642,485,0.00530025,0.00530025,4000,0.0,personamem_v2_32k:q00028,0.00530025,0,,[],0,mcq,gemini-3.6-flash,0.0,3.2208564580068924,{},sensitive_info
A,False,4966929affd9499dde9decfa34f4d0995bd1b6fab458cd5fde78fd7406721064,3.875468500016723,4423,733,0.006066,0.006066,4000,0.0,personamem_v2_32k:q00031,0.006066,0,,[],0,mcq,gemini-3.6-flash,0.0,3.886530915973708,{},anti_stereotypical_pref
C,False,dab941e37a52329083ff1fc50aa4fb2b5de8ab72afbc2958cc34e4be5ee0de77,4.202810666000005,4410,736,0.0060675,0.0060675,4000,0.0,personamem_v2_32k:q00018,0.0060675,0,,[],0,mcq,gemini-3.6-flash,0.0,4.235683667007834,{},stereotypical_pref
