seed,workload,query_id,pool,n_relevant,T_A,T_B
23,A,q00000,legal,16,0.697596,0.574337
23,A,q00001,security,19,0.0,0.399569
23,A,q00002,legal,15,0.364744,0.16422
23,A,q00003,security,12,0.648932,0.648932
23,A,q00004,legal,14,0.357076,0.154574
23,A,q00005,procurement,14,0.428385,0.271914
23,A,q00006,security,28,0.567721,0.933746
23,A,q00007,legal,20,0.599694,0.535254
23,A,q00008,security,19,0.696938,0.563788
23,A,q00009,procurement,18,0.0,0.208294
23,A,q00010,procurement,20,0.63322,0.503324
23,A,q00011,legal,20,0.722295,0.078398
23,A,q00012,security,12,0.343697,0.637152
23,A,q00013,procurement,17,0.444097,0.523174
23,A,q00014,procurement,17,0.563788,0.630043
23,A,q00015,procurement,14,0.31488,0.313285
23,A,q00016,security,18,0.0,0.110046
23,A,q00017,security,13,0.242618,0.563788
23,A,q00018,legal,18,0.569579,0.532621
23,A,q00019,procurement,17,0.563788,0.632541
23,A,q00020,procurement,20,0.289523,0.425208
23,A,q00021,security,18,0.437352,0.466277
23,A,q00022,legal,14,0.614952,0.283713
23,A,q00023,procurement,16,0.0,0.358954
23,A,q00024,legal,20,0.860382,0.554143
23,A,q00025,procurement,11,0.422575,0.31488
23,A,q00026,security,18,0.0,0.220092
23,A,q00027,legal,18,0.653147,0.233651
23,A,q00028,procurement,18,0.428385,0.72733
23,A,q00029,legal,20,0.777872,0.573972
23,A,q00030,procurement,16,0.073364,0.437352
23,A,q00031,security,28,0.630043,0.870125
23,A,q00032,security,18,0.469,0.547398
23,A,q00033,procurement,18,0.930569,0.362887
23,A,q00034,procurement,16,0.142795,0.358954
23,A,q00035,legal,9,0.834923,0.216241
23,A,q00036,security,28,0.630043,0.870125
23,A,q00037,security,19,0.151762,0.424926
23,A,q00038,procurement,11,0.358954,0.220092
23,A,q00039,security,13,0.242618,0.563788
23,A,q00040,procurement,20,0.706584,0.078398
23,A,q00041,legal,20,0.722295,0.078398
23,A,q00042,security,17,0.0,0.513529
23,A,q00043,legal,9,0.830723,0.235046
23,A,q00044,legal,20,0.778807,0.094788
23,A,q00045,procurement,18,0.930569,0.605985
23,A,q00046,legal,20,0.778807,0.094788
23,A,q00047,procurement,11,0.358954,0.208294
23,A,q00048,security,19,0.151762,0.424926
23,A,q00049,legal,20,0.936379,0.754269
23,A,q00050,security,18,0.437352,0.466277
23,A,q00051,procurement,17,0.563788,0.630043
23,A,q00052,legal,10,0.330138,0.248908
23,A,q00053,legal,14,0.357076,0.154574
23,A,q00054,procurement,20,0.648932,0.217261
23,A,q00055,procurement,16,0.069431,0.49464
23,A,q00056,security,18,0.0,0.110046
23,A,q00057,legal,15,0.855348,0.457675
23,A,q00058,procurement,16,0.195189,0.358954
23,A,q00059,procurement,18,0.396392,0.712552
23,A,q00060,legal,20,1.0,0.671759
23,A,q00061,procurement,11,0.425208,0.367921
23,A,q00062,procurement,16,0.0,0.358954
23,A,q00063,security,12,0.343697,0.637152
23,A,q00064,legal,27,0.841591,0.921602
23,A,q00065,security,12,0.343697,0.637152
23,A,q00066,procurement,14,0.29849,0.066254
23,A,q00067,legal,10,0.31488,0.233651
23,A,q00068,procurement,18,0.428385,0.72733
23,A,q00069,security,17,0.0,0.519997
23,A,q00070,procurement,16,0.0,0.358954
23,A,q00071,procurement,17,0.381134,0.49464
23,A,q00072,security,12,0.608618,0.642187
23,A,q00073,procurement,20,0.63322,0.503324
23,A,q00074,security,24,0.605985,0.738557
23,A,q00075,procurement,16,0.195189,0.358954
23,A,q00076,procurement,18,0.930569,0.362887
23,A,q00077,legal,13,0.469,0.444853
23,A,q00078,legal,15,0.796761,0.643121
23,A,q00079,legal,14,0.536554,0.31488
23,A,q00080,security,13,0.242618,0.563788
23,A,q00081,legal,20,1.0,0.671759
23,A,q00082,legal,27,0.841591,0.921602
23,A,q00083,procurement,18,0.0,0.208294
23,A,q00084,legal,20,0.781805,0.368856
23,A,q00085,security,18,0.469,0.522496
23,A,q00086,legal,20,0.860382,0.554143
23,A,q00087,procurement,11,0.396392,0.163541
